"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "erkely" "panelprogram"
"11" "47.8" "70" "2" " 11. kerület, Október huszonharmadika utca 17. " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "23 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"12" "17.5" "28" "1" " 20. kerület, Liget utca " "felújított" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "elektromos" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA
"13" "29" "73" "3" " 17. kerület, Pesti út " "nincs megadva" "nincs megadva" "nincs megadva" "1" "5" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "2.5 m²" "részt vett"
"14" "41.8" "73" "2.5" " 13. kerület, Keszkeno utca " "jó állapotú" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "30 000 Ft/hó" "nem" "külön helyiségben" "dél" "utcai" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" "1981-2000 között" "1 m²" "nem vett részt"
"15" "155" "111" "3" " 11. kerület, Ménesi út " "felújított" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" "16 m²" NA
"16" "43" "50" "2" " 10. kerület, Gyömroi út " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "kelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA
"17" "30.9" "39" "1" " 13. kerület, Visegrádi utca " "jó állapotú" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nem" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"18" "27.9" "45" "1" " 8. kerület, Losonci tér " "közepes állapotú" "összkomfortos" "nincs megadva" "4" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA NA "nem" "nincs megadva" "nyugat" "utcai" "nem" NA "utca, közterület" "1981-2000 között" "5 m²" NA
"19" "27.9" "45" "1" " 8. kerület, Losonci tér " "közepes állapotú" "összkomfortos" "nincs megadva" "4" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA NA "nem" "nincs megadva" "nyugat" "utcai" "nem" NA "utca, közterület" "1981-2000 között" "5 m²" NA
"20" "32.5" "34" "1" " 7. kerület, Wesselényi utca " "nincs megadva" "összkomfortos" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "7 000 Ft/hó" "nincs megadva" "egy helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
