"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "panelprogram"
"11" "44.8" "57" "2" " 13. kerület, Újlipótváros " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "8" "nincs megadva" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "6 m²" "nincs megadva" "nem tetotéri" "udvari beálló" NA NA NA
"12" "28.2" "49" "2" " 3. kerület, Óbudai lakótelep " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "nincs megadva" "10" "nincs" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva"
"13" "38" "35" "1" " 11. kerület, Zenta utca 3. " "jó állapotú" NA "nincs megadva" "nincs megadva" "4" "5" "van" "nincs megadva" "nincs megadva" "nincs megadva" "egy helyiségben" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA "22 000 Ft/hó" NA
"14" "31.3" "45" "2" " 13. kerület, Mór utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "dél" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"15" "30" "58" "2" " 4. kerület, Rózsa utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "dél" "panorámás" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "van" NA "nem vett részt"
"16" "85" "97" "4" " 13. kerület, Szent István körút " "közepes állapotú" NA "nincs megadva" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"17" "28" "85" "3" " 19. kerület, Nádasdy utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "12 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"18" "74.9" "83" "3" " 9. kerület, Viola utca 27-29 " "újszeru" "2018" "duplakomfortos" "nincs megadva" "földszint" "6" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, házközponti egyedi méréssel" "igen" "egy helyiségben" "nincs megadva" "kertre nézo" NA "igen" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA NA
"19" "23" "85" "3" " 19. kerület, Nádasdy utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "12 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"20" "48.74" "65" "2" " 7. kerület, Jósika utca " "felújítandó" NA "komfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "délkelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA
