"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "legkondicionalo" "erkely" "parkolohely_ara"
"11" "26.9" "34" "1" " 18. kerület, Miklóstelep " "felújított" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "2001-2010 között" NA NA NA
"12" "55" "53" "2" " 11. kerület, Sashegy " "felújított" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "dél" "kertre nézo" "nem" "nem tetotéri" NA "udvari beálló" "1950-1980 között" "van" "5 m²" NA
"13" "39" "48" "1" " 2. kerület, Törökvész " "felújítandó" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "kelet" "kertre nézo" "nincs megadva" "nem tetotéri" NA "utca, közterület" "1950-1980 között" "nincs" NA NA
"14" "27.9" "56" "2" " 20. kerület, Gubacsipuszta " "jó állapotú" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" "1950-1980 között" NA NA NA
"15" "24.99" "51" "2" " 18. kerület, Lakatos-lakótelep " "jó állapotú" "összkomfortos" "nincs megadva" "4" "4" "nincs" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "1981-2000 között" NA NA NA
"16" "49.9" "55" "2" " 9. kerület, Vendel utca " "újszeru" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "nincs megadva" "nincs megadva" NA "teremgarázs hely - kötelezo megvenni" "2001-2010 között" NA "5 m²" "5 M Ft"
"17" "30.5" "49" "2" " 3. kerület, Kerék utca " "jó állapotú" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "nyugat" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "1950-1980 között" NA "3.7 m²" NA
"18" "54" "47" "2" " 14. kerület, Cházár András utca " "újszeru" "összkomfortos" "nincs megadva" "9" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "nincs megadva" "legfelso emelet, nem tetotéri" NA "teremgarázs hely - benne van az árban" "2001-2010 között" "van" "2 m²" NA
"19" "58.9" "83" "3" " 1. kerület, Krisztinaváros – Váralja " "közepes állapotú" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nyugat" "udvari" "nincs megadva" "nincs megadva" NA "utca, közterület - fizetos övezet" NA NA NA NA
"20" "39.3" "37" "1" " 3. kerület, Remetehegy " "nincs megadva" "összkomfortos" "AA+" "5" "5" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "külön helyiségben" "délnyugat" "panorámás" "nem" "legfelso emelet, nem tetotéri" NA "teremgarázs hely - megvásárolható" "2020" "van" "3.5 m²" NA
