"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas"
"11" "33.6" "52" "1" " 16. kerület, Zsélyi Aladár utca " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "4" "4" "nincs" "nincs megadva" "házközponti egyedi méréssel" NA "35 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "6 m²" "nincs megadva" NA NA "utca, közterület"
"12" "38" "45" "1" " 2. kerület, Budakeszi út " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "házközponti" NA "38 000 Ft/hó" "igen" "egy helyiségben" "dél" "kertre nézo" "10 m²" "nem" NA NA "nincs megadva"
"13" "40.8" "54" "1" " 10. kerület, Kobánya-Városközpont " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "nincs megadva" "távfutés" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "4 m²" "nincs megadva" NA NA "nincs megadva"
"14" "48.9" "57" "2" " 9. kerület, Ülloi út 65. " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "6" "van" "nincs megadva" "gáz (cirko)" "van" "30 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "2 m²" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet"
"15" "54.9" "74" "3" " 12. kerület, Krisztinaváros – Városmajor " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "délkelet" "udvari" NA "nincs megadva" "nem tetotéri" NA "nincs megadva"
"16" "24.9" "48" "1" " 21. kerület, Kossuth Lajos utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "17 500 Ft/hó" "igen" "külön helyiségben" "dél" "utcai" "2 m²" "nem" "nem tetotéri" "részt vett" "utca, közterület - ingyenes"
"17" "49.5" "68" "2" " 2. kerület, Országút " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m vagy magasabb" "nincs megadva" NA NA "nincs megadva" "nincs megadva" "északnyugat" "utcai" NA "nincs megadva" "nem tetotéri" NA "nincs megadva"
"18" "34.2" "75" "3" " 10. kerület, Román utca " "újszeru" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "nincs megadva" "nincs" NA "igen" "külön helyiségben" "északkelet" "kertre nézo" NA "igen" "nem tetotéri" NA "utca, közterület - ingyenes"
"19" "29.4" "51" "2" " 3. kerület, Lukács György utca 2. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva"
"20" "47.9" "77" "3" " 7. kerület, István utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" NA "nem" "külön helyiségben" "délnyugat" "udvari" NA "nem" "nincs megadva" NA "utca, közterület - fizetos övezet"
