"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "parkolas" "legkondicionalo" "tetoter" "rezsikoltseg" "panelprogram"
"11" "28.9" "46" "1" " 14. kerület, Ormánság utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "egy helyiségben" "kelet" "kertre nézo" NA "nincs megadva" "utca, közterület" NA "nincs megadva" NA "részt vett"
"12" "24.99" "49" "2" " 19. kerület, Molnár József utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "dél" "utcai" "2 m²" "nem" "utca, közterület - ingyenes" "nincs" "nem tetotéri" NA NA
"13" "44.9" "81" "3" " 9. kerület, Ülloi út " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "kelet" "kertre nézo" NA "nincs megadva" "utca, közterület - fizetos övezet" NA "nincs megadva" "24 000 Ft/hó" NA
"14" "400.61" "187" "5" " 1. kerület, Víziváros " "újszeru" "1950 elott" "luxus" "EE" "6" "6" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délnyugat" "panorámás" "40 m²" "nincs megadva" "nincs megadva" "van" "zárószint" NA NA
"15" "65.9" "75" "3" " 13. kerület, Angyalföld " "nincs megadva" "2018" "duplakomfortos" "nincs megadva" "3" "4" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "dél" "nincs megadva" "111 m²" "nincs megadva" "teremgarázs hely - megvásárolható" NA "nem tetotéri" NA NA
"16" "66" "70" "3" " 11. kerület, Köbölkút utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"17" "29.9" "61" "2" " 9. kerület, Börzsöny utca " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nem tetotéri" NA "nincs megadva"
"18" "42" "43" "1" " 6. kerület, Szondi utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" "nem" "nincs megadva" "északnyugat" "utcai" NA "nem" "utca, közterület" NA "nem tetotéri" NA NA
"19" "63" "65" "1" " 6. kerület, Teréz körút " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "elektromos" "nem" "nincs megadva" "délnyugat" "utcai" "3 m²" "nem" "utca, közterület" NA "nem tetotéri" NA NA
"20" "45.9" "104" "4" " 17. kerület, Rákoscsaba " "felújított" "2020" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "elektromos, padlófutés" "nem" "egy helyiségben" "délnyugat" "udvari" NA "igen" "udvari beálló - benne van az árban" "nincs" "tetotéri" NA NA
