"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "erkely"
"11" "81.9" "94" "2" " 7. kerület, Belso-Erzsébetváros " "nincs megadva" NA "nincs megadva" "nincs megadva" "5" "5" "van" "3 m-nél alacsonyabb" "házközponti" NA NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA
"12" "89.5" "109" "4" " 7. kerület, Belso-Erzsébetváros " "felújított" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "külön és egyben is" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA
"13" "94.73" "84" "2" " 7. kerület, Belso-Erzsébetváros " "újszeru" "2018" "nincs megadva" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "penthouse" NA "nincs megadva" "38 m²"
"14" "105" "81" "3" " 7. kerület, Belso-Erzsébetváros " "felújított" NA "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" NA NA "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1.5 m²"
"15" "61.9" "79" "2" " 3. kerület, Nagyszombat utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" NA "nem" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA
"16" "84.3" "96" "2" " 7. kerület, Belso-Erzsébetváros " "jó állapotú" NA "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA NA "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "3 m²"
"17" "94" "118" "3" " 7. kerület, Belso-Erzsébetváros " "felújított" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "6 m²"
"18" "89" "84" "2" " 7. kerület, Belso-Erzsébetváros " "felújítandó" NA "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA
"19" "285" "180" "4" " 7. kerület, Belso-Erzsébetváros " "nincs megadva" NA "nincs megadva" "nincs megadva" "3" "7" "van" "3 m vagy magasabb" "egyéb" NA NA "nincs megadva" "nincs megadva" "délnyugat" "panorámás" "nincs megadva" "nem tetotéri" NA "nincs megadva" "6 m²"
"20" "26.9" "46" "1" " 14. kerület, Alsórákos " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA
