"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "panelprogram" "parkolohely_ara"
"11" "92.5" "105" "2" " 7. kerület, Hernád utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "40 000 Ft/hó" "nem" "külön helyiségben" "délnyugat" "utcai" "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"12" "39.9" "39" "1" " 5. kerület, Lipótváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" NA NA "nincs megadva" "nincs megadva" "dél" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"13" "58.5" "48" "1" " 13. kerület, Jászai Mari tér " "felújított" "1950 elott" "összkomfortos" "C" "1" "5" "van" "3 m vagy magasabb" "gáz (konvektor), elektromos" NA "12 000 Ft/hó" "igen" "külön helyiségben" "nincs megadva" "nincs megadva" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"14" "50.5" "58" "2" " 7. kerület, Nagy Diófa utca " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"15" "29.9" "43" "2" " 8. kerület, Kiss József utca " "felújított" "1950 elott" "luxus" "nincs megadva" "3" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor), fan-coil" "van" "10 Ft/hó" "nincs megadva" "egy helyiségben" "dél" "udvari" "nincs megadva" "nincs megadva" "teremgarázs hely - bérelheto" NA NA "15 000 Ft/hó"
"16" "31.9" "32" "1" " 2. kerület, Palánta utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "elektromos" "nincs" NA "nem" "egy helyiségben" "délkelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"17" "41.08" "51" "2" " 11. kerület, Kelenföld " "nincs megadva" "2021" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA NA "nincs megadva" "egy helyiségben" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "12 m²" NA NA
"18" "32.9" "49" "2" " 3. kerület, Rómaifürdo – Pók utcai lakótelep " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA NA "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "4 m²" "nincs megadva" NA
"19" "36.87" "50" "1" " 11. kerület, Kelenföld " "nincs megadva" "2021" "összkomfortos" "AA" "2" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA NA "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "nincs megadva" "11 m²" NA NA
"20" "64.9" "64" "3" " 6. kerület, Belso-Terézváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
