"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "legkondicionalo" "panelprogram" "rezsikoltseg"
"11" "59.9" "71" "2" " 2. kerület, Medve utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "házközponti" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "6 m²" NA NA NA
"12" "84.9" "92" "3" " 11. kerület, Karolina út " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "4" "nincs" "nincs megadva" "házközponti" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "5.5 m²" NA NA NA
"13" "62.9" "75" "3" " 8. kerület, Krúdy utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "gáz (konvektor), elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"14" "28.9" "46" "2" " 14. kerület, Ond vezér útja 9-11 " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "10" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "igen" "nincs megadva" "nincs megadva" "panorámás" "nem" "legfelso emelet, nem tetotéri" "utca, közterület" NA NA "részt vett" "35 000 Ft/hó"
"15" "24.9" "56" "2" " 16. kerület, Sándor utca " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "északnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"16" "110" "48" "2" " 1. kerület, Úri utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "2" "nincs megadva" "nincs megadva" "cserépkályha, gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "igen" "nem tetotéri" "nincs megadva" NA "van" NA NA
"17" "49.9" "74" "2.5" " 19. kerület, Ady Endre út " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"18" "26.9" "53" "2" " 19. kerület, Kispest-Óváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "északnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "4 m²" NA "nincs megadva" NA
"19" "37.9" "66" "3" " 3. kerület, Szolo utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "igen" "külön helyiségben" "nyugat" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "részt vett" NA
"20" "39.9" "47" "2" " 13. kerület, Frangepán utca " "újszeru" "2014" "összkomfortos" "nincs megadva" "földszint" "6" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "egy helyiségben" "kelet" "nincs megadva" "igen" "nincs megadva" "nincs megadva" "9 m²" NA NA NA
