"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "rezsikoltseg" "erkely" "epites_eve" "parkolohely_ara"
"11" "25.5" "28" "1" " 8. kerület, Mátyás tér " "felújított" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA "1950 elott" NA
"12" "45" "79" "2" " 13. kerület, Kassák Lajos utca " "felújított" "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "van" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nem" "nincs megadva" "teremgarázs hely - bérelheto" NA NA NA NA "15 000 Ft/hó"
"13" "37.9" "54" "2" " 13. kerület, Paszomány utca " "felújított" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "van" "nem" "külön helyiségben" "délkelet" "kertre nézo" "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület" NA "27 000 Ft/hó" "3 m²" "1950-1980 között" NA
"14" "89.95" "98" "3" " 3. kerület, Montevideo utca " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "4 m²" "1981-2000 között" NA
"15" "149.9" "170" "6" " 9. kerület, Ülloi út " "felújított" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nem" "külön és egyben is" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "32 000 Ft/hó" NA "1950 elott" NA
"16" "39.9" "57" "2" " 8. kerület, Dugonics utca " "jó állapotú" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "6 m²" "2001-2010 között" NA
"17" "225" "163" "4" " 13. kerület, Révész utca " "felújított" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "60 m²" "2001-2010 között" NA
"18" "84.9" "115" "3" " 6. kerület, Teréz körút " "felújítandó" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "1950 elott" NA
"19" "39.9" "33" "1" " 7. kerület, Hernád utca " "felújított" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nem" "egy helyiségben" "északkelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA "15 000 Ft/hó" NA "1950 elott" NA
"20" "25.5" "47" "1" " 18. kerület, Vándor Sándor utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "25 000 Ft/hó" NA NA NA
