"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "rezsikoltseg" "parkolohely_ara" "legkondicionalo" "panelprogram"
"11" "75.9" "83" "2" " 7. kerület, Kertész utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "van" NA
"12" "25.9" "36" "1" " 14. kerület, Amerikai út " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko), elektromos" "nem" "egy helyiségben" "délkelet" "kertre nézo" "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA "nincs" NA
"13" "27.7" "37" "1" " 6. kerület, Székely Bertalan utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "nincs" "nincs megadva" "egy helyiségben" "nyugat" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA "nincs" NA
"14" "42.5" "56" "3" " 10. kerület, Kobánya – Óhegy " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA "30 000 Ft/hó" NA NA NA
"15" "13.9" "36" "2" " 20. kerület, Erzsébetfalva " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"16" "17.99" "33" "1" " 20. kerület, Korom utca " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "igen" "nincs megadva" "utca, közterület - ingyenes" NA NA NA "nincs" NA
"17" "37.5" "48" "2" " 14. kerület, Limanova tér " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délkelet" "nincs megadva" "igen" "nincs megadva" "nincs megadva" "3 m²" NA NA NA NA
"18" "34.3" "42" "1" " 6. kerület, Bajza utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "kelet" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA NA
"19" "95.99" "115" "2" " 7. kerület, Középso-Erzsébetváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "nincs megadva" "egyéb" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"20" "25.9" "47" "2" " 17. kerület, Ferihegyi út " "közepes állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "2 m²" NA NA NA "nincs megadva"
