"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "parkolohely_ara" "erkely"
"11" "28" "49" "2" " 3. kerület, Szentendrei út " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "házközponti" NA NA "nincs megadva" "külön helyiségben" "kelet" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" NA "3 m²"
"12" "46" "55" "2" " 7. kerület, Verseny utca 190. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "50 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"13" "43.9" "47" "2" " 12. kerület, Mártonhegyi út " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "van" NA "nem" "egy helyiségben" "kelet" "kertre nézo" "nincs megadva" "nincs megadva" NA "udvari beálló - benne van az árban" NA "8 m²"
"14" "46.51" "68" "3" " 9. kerület, Haller utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" NA "igen" "külön helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "nincs megadva" "utca, közterület - ingyenes" NA "4 m²"
"15" "32.9" "37" "1" " 14. kerület, Alsórákos " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA
"16" "31" "49" "2" " 3. kerület, Szentendrei út " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" NA "igen" "külön helyiségben" "kelet" "utcai" "nem" "nincs megadva" "nincs megadva" "utca, közterület" NA "6 m²"
"17" "69.9" "71" "2" " 6. kerület, Bajcsy-Zsilinszky út " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" NA "nem" "külön helyiségben" "nyugat" "udvari" "nem" "nem tetotéri" NA "utca, közterület" NA NA
"18" "26.8" "43" "1" " 18. kerület, Építo utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA NA "nem" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" NA "utca, közterület - ingyenes" NA NA
"19" "215" "235" "5" " 12. kerület, Fodor utca 125. " "felújított" "1981-2000 között" "luxus" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "padlófutés, gáz (cirko)" "van" "40 000 Ft/hó" "nincs megadva" "külön és egyben is" "délkelet" "panorámás" "igen" "nem tetotéri" NA "önálló garázs" NA "35 m²"
"20" "23.8" "47" "2" " 15. kerület, Zsókavár utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "30 000 Ft/hó" "igen" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" NA NA
