"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "rezsikoltseg" "panelprogram"
"11" "26.79" "51" "2" " 18. kerület, Lakatos-lakótelep " "közepes állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "nincs megadva" "távfutés" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" NA "utca, közterület - ingyenes" NA NA NA
"12" "70.9" "85" "2" " 9. kerület, Ülloi út " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"13" "37.9" "54" "2" " 10. kerület, Kobánya – Újhegy " "felújított" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "7 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "2001-2010 között" NA NA
"14" "37.59" "41" "2" " 9. kerület, Nádasdy utca " "nincs megadva" "nincs megadva" "nincs megadva" "1" "8" "van" "3 m-nél alacsonyabb" "nincs megadva" "van" "nincs megadva" "külön helyiségben" "délnyugat" "udvari" NA "igen" "nincs megadva" "teremgarázs hely - megvásárolható" "2019" NA NA
"15" "35.8" "48" "2" " 3. kerület, Matróz utca " "jó állapotú" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "észak" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA "nincs megadva"
"16" "90" "100" "3" " 6. kerület, Belso-Terézváros " "felújított" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "2001-2010 között" NA NA
"17" "69.9" "90" "3" " 7. kerület, Erzsébet körút " "felújított" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "északkelet" "utcai" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA
"18" "47.6" "102" "3" " 16. kerület, Rákosszentmihály " "közepes állapotú" "komfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "egy helyiségben" "nincs megadva" "kertre nézo" NA "igen" "legfelso emelet, nem tetotéri" "udvari beálló - benne van az árban" "1981-2000 között" NA NA
"19" "29.9" "40" "2" " 14. kerület, Erzsébet királyné útja " "felújított" "összkomfortos" "II" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "gáz (konvektor), egyéb" "nincs" "igen" "egy helyiségben" "nyugat" "kertre nézo" "12 m²" "igen" "nem tetotéri" "udvari beálló - benne van az árban" "1950 elott" "15 000 Ft/hó" NA
"20" "58.9" "83" "3" " 1. kerület, Krisztinaváros – Váralja " "közepes állapotú" "összkomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "nyugat" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA NA
