"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "legkondicionalo" "panelprogram"
"11" "51" "75" "3" " 17. kerület, Rákoscsaba " "új építésu" "2019" "duplakomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, padlófutés" "nem" "külön és egyben is" "délnyugat" "kertre nézo" "15 m²" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA "van" NA
"12" "52.5" "55" "2" " 6. kerület, Rózsa utca " "új építésu" "2020" "nincs megadva" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "hoszivattyú, megújuló energia" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"13" "26.99" "59" "2" " 21. kerület, József Attila utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "nincs megadva" "délnyugat" "panorámás" "2 m²" "nem" "nem tetotéri" "utca, közterület" NA NA "nincs megadva"
"14" "68.28" "89" "3" " 11. kerület, Kelenföld " "új építésu" "2021" "összkomfortos" "AA" "4" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "32 m²" "nem" "nem tetotéri" "nincs megadva" NA NA NA
"15" "35.84" "47" "2" " 11. kerület, Kelenföld " "új építésu" "2021" "összkomfortos" "AA" "2" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "nyugat" "utcai" "5 m²" "nem" "nem tetotéri" "nincs megadva" NA NA NA
"16" "68" "97" "4" " 16. kerület, Rákosszentmihály " "új építésu" "2020" "duplakomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "udvari" NA "igen" "tetotéri" "udvari beálló - benne van az árban" NA NA NA
"17" "52.9" "95" "4" " 20. kerület, Pacsirtatelep " "új építésu" "2020" "duplakomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "nem" "külön és egyben is" "kelet" "kertre nézo" "16 m²" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA "van" NA
"18" "64.9" "95" "3" " 14. kerület, Nagyzugló " "új építésu" "2019" "duplakomfortos" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délnyugat" "kertre nézo" "6.8 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA NA
"19" "38.57" "49" "3" " 11. kerület, Albertfalva " "új építésu" "2020" "összkomfortos" "nincs megadva" "5" "8" "van" "3 m-nél alacsonyabb" "hoszivattyú" "igen" "egy helyiségben" "kelet" "panorámás" "8 m²" "nem" "nem tetotéri" "udvari beálló - megvásárolható" "1.5 M Ft" NA NA
"20" "52.7" "66" "3" " 13. kerület, Kartács utca 2. " "új építésu" "2019" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "házközponti egyedi méréssel, gázkazán" "nincs megadva" "külön helyiségben" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
