"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram"
"11" "42.9" "39" "1" " 7. kerület, Belso-Erzsébetváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" NA NA "nincs megadva" "nincs megadva" "délkelet" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA
"12" "102.9" "71" "3" " 5. kerület, Belváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" NA NA "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA
"13" "59.9" "73" "2" " 11. kerület, Kende utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "7" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" NA "nem" "külön helyiségben" "kelet" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA
"14" "28.3" "36" "1" " 13. kerület, Angyalföld – Gyöngyösi utcai lakótelep " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "van" "9 000 Ft/hó" "igen" "egy helyiségben" "kelet" "panorámás" NA "nincs megadva" "nincs megadva" "utca, közterület" "nincs megadva"
"15" "30" "39" "1" " 14. kerület, Róna utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" NA NA "nincs megadva" "egy helyiségben" "nyugat" "kertre nézo" "4 m²" "nincs megadva" "nem tetotéri" "utca, közterület" NA
"16" "57.5" "73" "2" " 13. kerület, Pannónia utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "25 000 Ft/hó" "nincs megadva" "külön helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" "nincs megadva" NA
"17" "91" "94" "3" " 13. kerület, Hollán Erno utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" NA "45 000 Ft/hó" "nincs megadva" "külön helyiségben" "kelet" "utcai" "6 m²" "nem" "legfelso emelet, nem tetotéri" "nincs megadva" NA
"18" "31.6" "39" "1" " 13. kerület, Mura utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "nincs megadva" "4" "van" "nincs megadva" "gáz (konvektor)" NA NA "nincs megadva" "egy helyiségben" "nyugat" "kertre nézo" NA "nem" "nem tetotéri" "nincs megadva" NA
"19" "42" "63" "2" " 4. kerület, Újpest-Központ " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "15 000 Ft/hó" "nincs megadva" "külön helyiségben" "dél" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA
"20" "68.9" "72" "2" " 6. kerület, Külso-Terézváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "északkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA
