"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "panelprogram" "rezsikoltseg" "erkely" "parkolohely_ara"
"11" "79.9" "97" "4" " 7. kerület, Murányi utca " "felújított" NA "duplakomfortos" "nincs megadva" "3" "nincs megadva" "nincs" "nincs megadva" "padlófutés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" NA NA NA NA
"12" "94.9" "138" "2" " 8. kerület, Baross utca " "felújított" NA "duplakomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"13" "69.9" "73" "3" " 3. kerület, Csillaghegy – Rókahegy " "újszeru" "2001-2010 között" "luxus" "nincs megadva" "földszint" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA NA "100 m²" "2.9 M Ft"
"14" "27" "50" "1" " 7. kerület, Nefelejcs utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "északkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA "11 800 Ft/hó" NA NA
"15" "74.99" "89" "3" " 6. kerület, Rippl-Rónai utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"16" "81" "128" "4" " 7. kerület, Belso-Erzsébetváros " "jó állapotú" NA "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"17" "45" "43" "1" " 13. kerület, Csongor utca 5-7 " "újszeru" NA "összkomfortos" "nincs megadva" "6" "9" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "egy helyiségben" "dél" "udvari" "nem" "nem tetotéri" "nincs megadva" "van" NA "28 000 Ft/hó" NA NA
"18" "39.9" "51" "1" " 11. kerület, Lágymányos – Muegyetem környéke " "felújítandó" NA "nincs megadva" "nincs megadva" "1" "4" "nincs megadva" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "4 m²" NA
"19" "46.88" "73" "2" " 11. kerület, Lágymányos – Muegyetem környéke " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "5" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "4 m²" NA
"20" "145.9" "126" "3" " 6. kerület, Andrássy út " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északnyugat" "utcai" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" "van" NA NA NA NA
