"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "legkondicionalo" "panelprogram"
"11" "29.5" "57" "2" " 3. kerület, Bálint György utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nem" "nincs megadva" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület" NA NA "nincs megadva"
"12" "35.5" "64" "2" " 7. kerület, Szinva utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "nincs megadva" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA
"13" "19.5" "35" "1" " 20. kerület, Erzsébetfalva " "jó állapotú" "1950 elott" "komfortos" "nincs megadva" "félemelet" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "egyéb" "10 000 Ft/hó" "nem" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "van" NA
"14" "53.9" "82" "3" " 14. kerület, Szederkény utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "padlófutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "tetotéri" "teremgarázs hely - benne van az árban" "5 m²" NA NA
"15" "29.9" "72" "3" " 20. kerület, Erzsébetfalva – Pesterzsébeti lakótelep " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "kelet" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "5 m²" "van" "részt vett"
"16" "78.4" "85" "3" " 5. kerület, Kecskeméti utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "12 500 Ft/hó" "nincs megadva" "külön helyiségben" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "van" NA
"17" "29.9" "59" "2" " 15. kerület, Csobogós utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "házközponti" "30 000 Ft/hó" "igen" "külön helyiségben" "nyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "2 m²" NA "nincs megadva"
"18" "64.89" "67" "2" " 12. kerület, Gaál József út " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "nincs megadva" "dél" "kertre nézo" "nem" "nem tetotéri" "utca, közterület" NA NA NA
"19" "69.9" "84" "4" " 14. kerület, Alsórákos " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "4" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" "16.19 m²" NA NA
"20" "31.99" "71" "2" " 4. kerület, Berda József utca " "felújított" "1950-1980 között" "összkomfortos" "DD" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "45 000 Ft/hó" "nem" "külön helyiségben" "kelet" "panorámás" "nem" "zárószint" "utca, közterület - ingyenes" "4 m²" "van" "nem vett részt"
