"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "rezsikoltseg"
"11" "98" "104" "3" " 6. kerület, Szív utca " "felújítandó" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nyugat" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1950 elott" NA
"12" "28" "49" "2" " 14. kerület, Csáktornya park " "jó állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "8 m²" "nincs megadva" NA NA "nincs megadva" "1950-1980 között" NA
"13" "40.5" "49" "2" " 11. kerület, Kruspér utca " "közepes állapotú" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "külön helyiségben" "délnyugat" "udvari" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"14" "23" "36" "1" " 8. kerület, Lujza utca 3. " "jó állapotú" "összkomfortos" "BB" "2" "3" "nincs megadva" "3 m vagy magasabb" "elektromos" "nincs" "nem" "külön helyiségben" "nincs megadva" "udvari" "4 m²" "nem" "nincs megadva" NA "nincs megadva" NA "30 000 Ft/hó"
"15" "23.8" "30" "1" " 13. kerület, Gömb utca 7. " "felújított" "komfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "kelet" "udvari" NA "igen" "nem tetotéri" NA "utca, közterület" "1950-1980 között" NA
"16" "36" "41" "1" " 13. kerület, Katona József utca " "közepes állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "távfutés" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA
"17" "38" "50" "2" " 10. kerület, Makk utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "7 m²" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"18" "64.9" "63" "2" " 7. kerület, Király utca " "felújított" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" NA "nincs megadva" "nincs megadva" "északnyugat" "utcai" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA
"19" "32.9" "33" "1" " 9. kerület, Középso-Ferencváros – Rehabilitációs terület " "nincs megadva" "komfortos" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "elektromos" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"20" "36.9" "51" "2" " 13. kerület, Kassák Lajos utca " "jó állapotú" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "kelet" "utcai" "5 m²" "nem" "nem tetotéri" "nincs megadva" "utca, közterület - fizetos övezet" "1981-2000 között" NA
