"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "legkondicionalo" "erkely" "panelprogram"
"11" "19.8" "36" "1" " 4. kerület, Újpest " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "nincs megadva" "földszintes" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "igen" "nincs megadva" "utca, közterület" NA NA NA NA
"12" "64.9" "72" "2" " 1. kerület, Várfok utca 15/b " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "délnyugat" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület" NA "nincs" "12 m²" NA
"13" "32.4" "68" "3" " 10. kerület, Gozmozdony utca " "jó állapotú" "1981-2000 között" "összkomfortos" "BB" "félemelet" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "2 m²" "nincs megadva"
"14" "39.9" "46" "2" " 19. kerület, Wekerletelep " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "kertre nézo" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA NA "11 m²" NA
"15" "44.9" "54" "2" " 11. kerület, Kelenföld " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"16" "35.5" "60" "2" " 14. kerület, Erzsébet királyné útja 46. " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m-nél alacsonyabb" "elektromos" "nem" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "udvari beálló" NA NA NA NA
"17" "33.9" "36" "2" " 8. kerület, József utca 43-45. " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "6" "7" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "11 000 Ft/hó" "van" NA NA
"18" "34.9" "68" "2" " 15. kerület, Pozsony utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA NA
"19" "23.9" "38" "1" " 10. kerület, Korösi Csoma Sándor út " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA
"20" "44.7" "61" "2" " 16. kerület, Árpádföld – Szabadságtelep " "nincs megadva" "2021" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "udvari beálló" NA NA "5.95 m²" NA
