"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "parkolohely_ara" "panelprogram" "rezsikoltseg"
"11" "27.9" "57" "2" " 13. kerület, Rokolya utca 42. " "újszeru" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "elektromos" "nem" "egy helyiségben" "nyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA NA "8 000 Ft/hó"
"12" "34.5" "49" "2" " 3. kerület, Óbuda – Filatorigát " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "dél" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" "4 m²" NA "részt vett" NA
"13" "30.9" "55" "2" " 13. kerület, Rokolya utca " "újszeru" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "nincs megadva" "elektromos" "nem" "egy helyiségben" "nyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA NA "8 000 Ft/hó"
"14" "33.9" "58" "2" " 20. kerület, Pacsirtatelep " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "nincs megadva" "nincs megadva" "önálló garázs - megvásárolható" NA NA "2.9 M Ft" NA NA
"15" "39.9" "55" "1" " 6. kerület, Izabella utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "egyéb" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"16" "139" "91" "3" " 2. kerület, Mandula utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"17" "43.9" "76" "3" " 15. kerület, Fo út " "újszeru" NA "luxus" "nincs megadva" "nincs megadva" "földszintes" "nincs megadva" "nincs megadva" "gázkazán" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "igen" "nincs megadva" "nincs megadva" NA NA NA NA NA
"18" "26.5" "65" "2" " 20. kerület, Kossuthfalva " "jó állapotú" "2001-2010 között" "duplakomfortos" "nincs megadva" "1" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délnyugat" "kertre nézo" "igen" "tetotéri" "udvari beálló - benne van az árban" NA NA NA NA NA
"19" "64.9" "90" "2" " 12. kerület, Városmajor utca " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "6 m²" NA NA NA
"20" "34.8" "61" "2" " 10. kerület, Ligettelek " "nincs megadva" NA "összkomfortos" "nincs megadva" "3" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA "részt vett" NA
