"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "erkely" "legkondicionalo" "parkolohely_ara" "epites_eve" "rezsikoltseg"
"11" "30.99" "58" "2.5" " 10. kerület, Tavas utca 2. " "felújított" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "nyugat" "panorámás" "nem" "nincs megadva" "részt vett" "utca, közterület - ingyenes" "3 m²" "van" NA "1981-2000 között" NA
"12" "28" "26" "1" " 7. kerület, Dózsa György út 14. " "felújított" "nincs megadva" "nincs megadva" "1" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA "20 000 Ft/hó"
"13" "36" "31" "1" " 5. kerület, Honvéd utca " "jó állapotú" "összkomfortos" "FF" "4" "6" "van" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nyugat" "udvari" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA "nincs" NA "1950 elott" NA
"14" "31.9" "36" "1" " 3. kerület, Bogdáni út " "jó állapotú" "összkomfortos" "nincs megadva" "3" "3" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "kertre nézo" "nincs megadva" "legfelso emelet, nem tetotéri" NA "utca, közterület" NA NA NA "1950-1980 között" "9 000 Ft/hó"
"15" "24.5" "42" "1" " 10. kerület, Kápolna utca " "felújított" "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA NA NA
"16" "89" "71" "2" " 13. kerület, Újpesti rakpart 7. " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "2 m²" NA NA NA NA
"17" "92.5" "102" "3" " 11. kerület, Szabolcska Mihály utca 9. " "jó állapotú" "nincs megadva" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "nincs megadva" "nincs megadva" NA "utca, közterület - ingyenes" "5 m²" "van" NA "1950 elott" NA
"18" "39.8" "39" "2" " 13. kerület, Thurzó utca 9/a " "felújított" "összkomfortos" "nincs megadva" "félemelet" "4" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "egy helyiségben" "északnyugat" "utcai" "nem" NA NA "utca, közterület" NA "nincs" NA "1950-1980 között" NA
"19" "41" "34" "1" " 5. kerület, Szemere utca " "felújított" "összkomfortos" "nincs megadva" "6" "6" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "egy helyiségben" "észak" "utcai" "nem" "legfelso emelet, nem tetotéri" NA "utca, közterület" "10 m²" NA NA "1950 elott" NA
"20" "27.4" "46" "1" " 14. kerület, Tihany utca " "jó állapotú" "összkomfortos" "nincs megadva" "3" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "részt vett" "utca, közterület - ingyenes" NA NA NA NA NA
