"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "legkondicionalo" "panelprogram"
"11" "59.9" "45" "2" " 2. kerület, Kurucles " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "nincs megadva" "délnyugat" "panorámás" "10 m²" "nincs megadva" "nem tetotéri" "önálló garázs - megvásárolható" NA NA NA
"12" "45" "48" "2" " 9. kerület, Középso-Ferencváros " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "13 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"13" "38.9" "72" "2" " 4. kerület, Újpesti lakótelep " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "nyugat" "panorámás" "5 m²" "nem" "nincs megadva" "utca, közterület - ingyenes" NA "van" "nem vett részt"
"14" "58" "88" "4" " 7. kerület, Hernád utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "40 000 Ft/hó" NA NA
"15" "53" "44" "3" " 5. kerület, Belváros " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"16" "56" "56" "2" " 6. kerület, Nagymezo utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "4" "van" "nincs megadva" "nincs megadva" "igen" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "25 000 Ft/hó" NA NA
"17" "55.9" "56" "2" " 7. kerület, Király utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "2" "nincs" "nincs megadva" "gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "utcai" NA "nem" "legfelso emelet, nem tetotéri" "udvari beálló - benne van az árban" "35 000 Ft/hó" "van" NA
"18" "44.9" "37" "1" " 5. kerület, Nyáry Pál utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "nem" "külön helyiségben" "északkelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"19" "49.5" "38" "1" " 5. kerület, Lipótváros " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"20" "46.9" "37" "1" " 5. kerület, Belváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "északkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
