"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "erkely" "rezsikoltseg" "panelprogram" "parkolohely_ara"
"11" "53.9" "85" "2" " 9. kerület, Angyal utca " "közepes állapotú" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "igen" "külön helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA NA NA NA
"12" "18.5" "23" "1" " 13. kerület, Mór utca " "felújított" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "elektromos" NA "nincs megadva" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "udvari beálló" NA NA NA NA NA
"13" "49.99" "102" "3" " 14. kerület, Alsórákos " "felújított" "összkomfortos" "nincs megadva" "3" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "teremgarázs hely - kötelezo megvenni" "1981-2000 között" "10 m²" NA NA "3 M Ft"
"14" "32.9" "65" "2" " 15. kerület, Pestújhely " "felújított" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "nincs megadva" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nem" "nincs megadva" "utca, közterület - ingyenes" NA "4 m²" NA "nincs megadva" NA
"15" "51.8" "70" "3" " 7. kerület, Középso-Erzsébetváros " "felújított" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA
"16" "17.9" "27" "1" " 20. kerület, Vágóhíd utca " "felújított" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "udvari beálló" NA NA NA NA NA
"17" "112" "92" "2.5" " 12. kerület, Árnyas út " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" "9 m²" NA NA NA
"18" "29.5" "49" "2" " 14. kerület, Vezér utca " "jó állapotú" "nincs megadva" "nincs megadva" "10" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "3 m²" NA "részt vett" NA
"19" "49.8" "58" "2" " 14. kerület, Bácskai utca " "jó állapotú" "összkomfortos" "nincs megadva" "3" "3" "nincs" "nincs megadva" "gáz (konvektor)" "van" "nem" "külön helyiségben" "délnyugat" "panorámás" "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "3 m²" "25 000 Ft/hó" NA NA
"20" "26" "65" "2" " 20. kerület, Helsinki út 8. " "közepes állapotú" "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "nincs megadva" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" "2023" "5 m²" NA "részt vett" NA
