"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "rezsikoltseg" "parkolohely_ara"
"11" "68.9" "83" "2" " 5. kerület, Nyugati tér " "felújított" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "dél" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" "van" "20 000 Ft/hó" NA
"12" "52.5" "53" "2" " 12. kerület, Kissvábhegy " "felújítandó" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "dél" "utcai" "25 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA NA
"13" "79.9" "108" "3" " 11. kerület, Bercsényi utca " "újszeru" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" "1950 elott" NA NA NA
"14" "34.9" "33" "1" " 6. kerület, Bajnok utca " "felújított" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "utca, közterület" "1950 elott" "van" "25 000 Ft/hó" NA
"15" "145" "85" "3" " 6. kerület, Anker köz " "felújított" "duplakomfortos" "nincs megadva" "3" "6" "van" "nincs megadva" "házközponti" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "13 m²" "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" "van" "20 000 Ft/hó" NA
"16" "51.9" "87" "2" " 7. kerület, Király utca " "felújítandó" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"17" "72.9" "102" "3" " 2. kerület, Lipthay utca " "közepes állapotú" "nincs megadva" "nincs megadva" "1" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délnyugat" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" NA "20 000 Ft/hó" NA
"18" "63.5" "80" "3" " 13. kerület, Angyalföld – Loportárdulo " "nincs megadva" "duplakomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "délkelet" "kertre nézo" "4 m²" "nincs megadva" "zárószint" "teremgarázs hely - megvásárolható" NA "van" NA "3.7 M Ft"
"19" "299" "176" "4" " 2. kerület, Lévay utca " "újszeru" "duplakomfortos" "nincs megadva" "3" "3" "nincs megadva" "nincs megadva" "fan-coil" "nincs megadva" "nincs megadva" "dél" "panorámás" "104 m²" "nincs megadva" "nincs megadva" "teremgarázs hely" "2001-2010 között" NA NA NA
"20" "35" "40" "2" " 6. kerület, Aradi utca 64. " "felújított" "összkomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA "15 000 Ft/hó" NA
