"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "rezsikoltseg" "erkely"
"11" "37" "43" "2" " 14. kerület, Alsórákos " "újszeru" "2019" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "házközponti" "van" "igen" "egy helyiségben" "délnyugat" "kertre nézo" "igen" "nem tetotéri" "utca, közterület - ingyenes" NA NA "7 m²"
"12" "139" "101" "2" " 3. kerület, Óbuda-Óváros " "nincs megadva" "2021" "nincs megadva" "nincs megadva" "6" "6" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "nincs megadva" "penthouse" "nincs megadva" NA NA "135.45 m²"
"13" "46" "54" "2" " 2. kerület, Vérhalom " "nincs megadva" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "nyugat" "panorámás" "nincs megadva" NA "utca, közterület - ingyenes" NA NA NA
"14" "14.9" "47" "1" " 13. kerület, Szent László út " "közepes állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "szuterén" "3" "van" "3 m-nél alacsonyabb" "elektromos" "nincs" "igen" "külön helyiségben" "kelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "13 000 Ft/hó" NA
"15" "29.9" "56" "2" " 4. kerület, Dugonics utca " "felújított" NA "nincs megadva" "nincs megadva" "nincs megadva" "10" "van" "nincs megadva" "házközponti egyedi méréssel" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "részt vett" NA NA
"16" "60.5" "62" "2" " 9. kerület, Középso-Ferencváros " "nincs megadva" "2020" "nincs megadva" "AA+" "5" "10" "van" "3 m vagy magasabb" "távfutés egyedi méréssel" NA "nem" "nincs megadva" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "16.7 m²"
"17" "36.9" "45" "1" " 6. kerület, Lehel utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"18" "60.5" "62" "2" " 9. kerület, Középso-Ferencváros " "nincs megadva" "2020" "nincs megadva" "AA+" "4" "10" "van" "3 m vagy magasabb" "nincs megadva" NA "nem" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "16.64 m²"
"19" "56" "58" "2" " 9. kerület, Középso-Ferencváros " "nincs megadva" "2019" "nincs megadva" "AA+" "2" "10" "van" "3 m vagy magasabb" "nincs megadva" NA "nem" "nincs megadva" "kelet" "udvari" "nem" "nem tetotéri" "nincs megadva" NA NA "13.3 m²"
"20" "33.6" "46" "2" " 14. kerület, Rákosfalva " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "9" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA
