"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg" "panelprogram" "legkondicionalo"
"11" "51.9" "52" "2" " 2. kerület, Rókushegyi lépcso " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délnyugat" "kertre nézo" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA "15 000 Ft/hó" NA "nincs"
"12" "23" "35" "2" " 4. kerület, Újpesti lakótelep " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "egy helyiségben" "dél" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "nincs megadva" NA
"13" "31.9" "39" "1" " 18. kerület, Thököly út " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "egy helyiségben" "dél" "udvari" NA "nem" "tetotéri" "udvari beálló - kötelezo megvenni" "1 M Ft" "17 000 Ft/hó" NA NA
"14" "30.6" "59" "2" " 19. kerület, Nagysándor József utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "8" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "délkelet" "udvari" NA "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA "részt vett" NA
"15" "22.9" "38" "1" " 20. kerület, Baross utca 47. " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "9" "9" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "6 m²" "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" NA NA "nem vett részt" NA
"16" "37.5" "57" "2" " 13. kerület, Angyalföldi út " "közepes állapotú" NA "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "kelet" "utcai" "1 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "nincs megadva" NA
"17" "113.85" "64" "2" " 6. kerület, Andrássy út 53. " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "5" "5" "nincs megadva" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "10 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "van"
"18" "36" "54" "2" " 13. kerület, Gyöngyösi utca " "felújított" "1950-1980 között" "összkomfortos" "AA" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "24 000 Ft/hó" NA "nincs"
"19" "177.33" "123" "5" " 7. kerület, Nagy Diófa utca " "újszeru" "2019" "duplakomfortos" "nincs megadva" "5" "6" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "külön és egyben is" "délnyugat" "kertre nézo" "27 m²" "nincs megadva" "nincs megadva" "teremgarázs hely" NA NA NA NA
"20" "190.09" "92" "3" " 6. kerület, Andrássy út 53. " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "4" "4" "van" "nincs megadva" "hoszivattyú" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "22.5 m²" "nem" "nincs megadva" "nincs megadva" NA NA NA NA
