"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "rezsikoltseg" "legkondicionalo" "panelprogram"
"11" "29.9" "36" "2" " 1. kerület, Krisztinaváros " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "igen" "külön helyiségben" "északkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "nincs" NA
"12" "47.5" "129" "3" " 19. kerület, Fo utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "délkelet" "kertre nézo" "nincs megadva" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA NA
"13" "39.8" "74" "2" " 8. kerület, Baross utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nem" "nincs megadva" "nincs megadva" NA "30 000 Ft/hó" NA NA
"14" "94.9" "106" "3" " 1. kerület, Csalogány utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" "4 m²" NA "nincs" NA
"15" "27.5" "61" "3" " 15. kerület, Zsókavár utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "nincs megadva" "utca, közterület - ingyenes" NA NA "nincs" "részt vett"
"16" "35" "40" "1" " 6. kerület, Podmaniczky utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "egy helyiségben" "északnyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "van" NA
"17" "51.9" "74" "2" " 6. kerület, Külso-Terézváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"18" "44.8" "68" "2" " 11. kerület, Bercsényi utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "nyugat" "udvari" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" "5 m²" "30 000 Ft/hó" "nincs" NA
"19" "38.5" "61" "2" " 13. kerület, Népfürdo utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "8" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "kelet" "panorámás" "nem" "nem tetotéri" "utca, közterület" "8 m²" NA "nincs" NA
"20" "154" "158" "4.5" " 5. kerület, Haris köz " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön és egyben is" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "30 000 Ft/hó" "van" NA
