"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "erkely" "rezsikoltseg" "parkolohely_ara"
"11" "44.5" "66" "3" " 3. kerület, Matróz utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "10" "van" "nincs megadva" "távfutés" "van" "nincs megadva" "külön helyiségben" "dél" "utcai" "nem" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²" NA NA
"12" "38.5" "69" "3" " 3. kerület, Kiscelli utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "6" "10" "van" "nincs megadva" "távfutés" NA "igen" "külön helyiségben" "délkelet" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület" "nincs megadva" "4 m²" NA NA
"13" "10.9" "14" "1" " 15. kerület, Rákos út " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "nincs megadva" "elektromos" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"14" "69.9" "120" "4" " 8. kerület, Népszínház utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "igen" "nincs megadva" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"15" "295" "230" "5" " 2. kerület, Fillér utca " "jó állapotú" "2001-2010 között" "luxus" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "külön és egyben is" "délnyugat" "panorámás" "nem" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" NA "20 m²" "50 000 Ft/hó" "15 M Ft"
"16" "29.9" "57" "2" " 3. kerület, Zsirai Miklós utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "10" "van" "nincs megadva" "távfutés" NA "nincs megadva" "külön helyiségben" "dél" "utcai" "nem" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"17" "26.9" "46" "1" " 14. kerület, Kerepesi út " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA
"18" "30.9" "51" "2" " 3. kerület, Óbudai lakótelep " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "10" "több mint 10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "igen" "nincs megadva" "dél" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület" "részt vett" "8 m²" NA NA
"19" "79.9" "116" "3" " 6. kerület, Városligeti fasor " "jó állapotú" NA "nincs megadva" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA NA
"20" "42.4" "50" "2" " 6. kerület, Izabella utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "elektromos" "nincs" "nem" "egy helyiségben" "nyugat" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
