"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "erkely" "legkondicionalo" "panelprogram" "rezsikoltseg"
"11" "21.9" "38" "1" " 20. kerület, Kossuth Lajos utca " "közepes állapotú" "összkomfortos" "nincs megadva" "3" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "1950-1980 között" NA NA NA "20 000 Ft/hó"
"12" "26.4" "55" "2" " 18. kerület, Lakatos-lakótelep " "jó állapotú" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "egy helyiségben" "dél" "nincs megadva" "nincs megadva" NA "utca, közterület - ingyenes" "1950-1980 között" "4 m²" NA NA NA
"13" "24.9" "43" "1" " 18. kerület, Lakatos út " "jó állapotú" "összkomfortos" "nincs megadva" "2" "4" "nincs megadva" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "délnyugat" "nincs megadva" "nincs megadva" NA "nincs megadva" "1950-1980 között" NA NA NA NA
"14" "28.5" "51" "2" " 8. kerület, Asztalos Sándor út " "jó állapotú" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "kelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950-1980 között" NA "nincs" NA NA
"15" "38.58" "46" "2" " 11. kerület, Albertfalva " "újszeru" "összkomfortos" "nincs megadva" "nincs megadva" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "teremgarázs hely" "2019" "7.8 m²" NA NA "8 000 Ft/hó"
"16" "21.99" "27" "1" " 14. kerület, Alsórákos " "jó állapotú" "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "nincs megadva" "délkelet" "kertre nézo" "nincs megadva" "tetotéri" "nincs megadva" "2001-2010 között" NA "van" NA NA
"17" "114.9" "105" "5" " 11. kerület, Sasad " "újszeru" "duplakomfortos" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs megadva" "falfutés" "nincs megadva" "nincs megadva" "északkelet" "kertre nézo" "igen" "nincs megadva" "nincs megadva" "2013" "15 m²" NA NA NA
"18" "86.8" "112" "3" " 6. kerület, Király utca 104. " "újszeru" "duplakomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti, fan-coil" "igen" "külön és egyben is" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "2016" "27 m²" "van" NA NA
"19" "112" "130" "4" " 11. kerület, Péterhegy " "újszeru" "duplakomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "nem" "egy helyiségben" "délkelet" "kertre nézo" "nem" "nincs megadva" "teremgarázs hely - benne van az árban" "2011" "14.7 m²" "van" NA NA
"20" "79.9" "116" "3" " 6. kerület, Városligeti fasor " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "3" "van" "nincs megadva" "házközponti" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "udvari beálló" NA NA NA NA NA
