"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "parkolas" "tetoter" "epites_eve" "parkolohely_ara" "panelprogram"
"11" "69.9" "82" "3" " 14. kerület, Locsei út 61. " "új építésu" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" NA NA "nem" "külön és egyben is" "délkelet" "kertre nézo" "9 m²" "nem" "udvari beálló - megvásárolható" "nem tetotéri" "2019" "1.5 M Ft" NA
"12" "19.89" "38" "1" " 15. kerület, Kert köz 7. " "jó állapotú" "összkomfortos" "nincs megadva" "2" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"13" "19.89" "47" "1" " 21. kerület, Katona József utca 13-15. " "felújítandó" "összkomfortos" "nincs megadva" "4" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "6 m²" "nincs megadva" "nincs megadva" "nincs megadva" "1981-2000 között" NA NA
"14" "62.7" "59" "3" " 11. kerület, Petzvál József utca 1. " "új építésu" "nincs megadva" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA NA "nem" "egy helyiségben" "délkelet" "kertre nézo" "4 m²" "nem" "udvari beálló - megvásárolható" "nem tetotéri" "2020" NA NA
"15" "98.7" "82" "3" " 11. kerület, Bíró László József körút " "új építésu" "duplakomfortos" "nincs megadva" "6" "7" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel, elektromos" "van" "21 700 Ft/hó" "igen" "külön és egyben is" "dél" "panorámás" "15 m²" "nem" "teremgarázs hely - megvásárolható" "nem tetotéri" "2019" "5 M Ft" NA
"16" "49.9" "57" "2" " 11. kerület, Bogdánfy utca 3. " "felújított" "összkomfortos" "nincs megadva" "4" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "25 000 Ft/hó" "nem" "egy helyiségben" "nyugat" "utcai" "4 m²" "nem" "utca, közterület - fizetos övezet" "nem tetotéri" "1950-1980 között" NA NA
"17" "66.9" "75" "4" " 14. kerület, Beckó utca 23-25. " "újszeru" "duplakomfortos" "nincs megadva" "félemelet" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "17 200 Ft/hó" "nem" "külön és egyben is" "délkelet" "kertre nézo" "12 m²" "nincs megadva" "teremgarázs hely - kötelezo megvenni" "nincs megadva" "2001-2010 között" "3 M Ft" NA
"18" "35.9" "40" "2" " 6. kerület, Szív utca 58. " "újszeru" "összkomfortos" "nincs megadva" "3" "6" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "igen" "nincs megadva" "délnyugat" "udvari" NA "nincs megadva" "teremgarázs hely - megvásárolható" "nem tetotéri" "2001-2010 között" "4.1 M Ft" NA
"19" "39.9" "52" "1" " 9. kerület, Hogyes Endre utca " "felújított" "összkomfortos" "CC" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" NA "nem" "külön helyiségben" "délkelet" "udvari" NA "nem" "utca, közterület" "nem tetotéri" "1950 elott" NA NA
"20" "24.9" "37" "1" " 10. kerület, Harmat utca 144. " "felújított" "összkomfortos" "CC" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "40 000 Ft/hó" "nem" "egy helyiségben" "délkelet" "panorámás" NA "nem" "utca, közterület - ingyenes" "nem tetotéri" "1981-2000 között" NA "részt vett"
