"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "parkolohely_ara" "legkondicionalo" "panelprogram" "rezsikoltseg"
"11" "24.5" "36" "1" " 9. kerület, Mátyás utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "délkelet" "udvari" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "nincs" NA "12 500 Ft/hó"
"12" "125" "160" "5" " 5. kerület, Bajcsy-Zsilinszky út " "felújítandó" NA "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"13" "62.5" "73" "2" " 11. kerület, Lágymányos – Muegyetem környéke " "felújított" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs megadva" "nincs megadva" "házközponti" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" "5 m²" NA NA NA NA
"14" "47.9" "52" "1" " 2. kerület, Rézmál " "közepes állapotú" NA "nincs megadva" "nincs megadva" "2" "3" "nincs" "nincs megadva" "cserépkályha" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²" NA NA NA NA
"15" "38.95" "39" "1" " 6. kerület, Eötvös utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "dél" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA "10 000 Ft/hó"
"16" "28.5" "28" "1" " 7. kerület, Csengery utca 7. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "délnyugat" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "nincs" NA "8 400 Ft/hó"
"17" "57.9" "60" "2" " 7. kerület, Osvát utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA NA
"18" "30.9" "36" "1" " 3. kerület, Raktár utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "kelet" "kertre nézo" "nem" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"19" "189" "176" "4" " 12. kerület, Istenhegy – Diósárok " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "40 m²" NA NA NA NA
"20" "149" "146" "5" " 2. kerület, Országút " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "6 m²" NA NA NA NA
