"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "erkely" "legkondicionalo" "parkolohely_ara" "rezsikoltseg"
"11" "46.9" "71" "2" " 6. kerület, Szinyei Merse Pál utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"12" "44.5" "63" "3" " 16. kerület, Újszász utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nyugat" "udvari" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "nincs" NA NA
"13" "46.5" "64" "3" " 14. kerület, Nagy Lajos király útja " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "önálló garázs - benne van az árban" NA "6 m²" "van" NA NA
"14" "23.4" "27" "1" " 14. kerület, Angol utca " "felújított" NA "összkomfortos" "nincs megadva" "nincs megadva" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "udvari" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" NA NA "nincs" NA NA
"15" "31.5" "52" "1" " 14. kerület, Angol utca " "felújított" NA "összkomfortos" "nincs megadva" "nincs megadva" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA "nincs" NA NA
"16" "31.9" "40" "2" " 14. kerület, Nagy Lajos király útja " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "egy helyiségben" "délnyugat" "panorámás" "nem" "tetotéri" "teremgarázs hely - megvásárolható" NA "18 m²" "nincs" "2 M Ft" NA
"17" "28.8" "50" "2" " 22. kerület, Bartók Béla út " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "dél" "kertre nézo" "nem" "nincs megadva" "utca, közterület - ingyenes" NA NA "van" NA "20 000 Ft/hó"
"18" "45.99" "37" "1" " 5. kerület, Belváros " "felújított" NA "nincs megadva" "nincs megadva" "földszint" "4" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"19" "29.9" "28" "1" " 3. kerület, Torma Károly utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "távfutés" "nem" "nincs megadva" "nyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület" "nincs megadva" "4 m²" NA NA NA
"20" "42" "41" "1" " 3. kerület, Újliget sétány " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
