"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "panelprogram"
"11" "53.9" "84" "2" " 7. kerület, Középso-Erzsébetváros " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "nincs megadva" "délnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA NA
"12" "22.7" "33" "1" " 13. kerület, Dévai utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "nincs megadva" "kelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA NA
"13" "26" "30" "1" " 13. kerület, Petneházy utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "nincs megadva" "dél" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA NA
"14" "26.4" "49" "2" " 3. kerület, Kabar utca " "jó állapotú" "1950-1980 között" "összkomfortos" "CC" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nem" "nincs megadva" "nyugat" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület" NA "nincs megadva"
"15" "56.8" "86" "2" " 9. kerület, Boráros tér " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"16" "58.12" "77" "2.5" " 13. kerület, Rokolya utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "nincs megadva" "északkelet" "utcai" "5 m²" "nem" "nem tetotéri" "önálló garázs - megvásárolható" NA NA
"17" "55.09" "70" "3" " 13. kerület, Rokolya utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "nincs megadva" "dél" "utcai" "9 m²" "nem" "nem tetotéri" "önálló garázs - megvásárolható" NA NA
"18" "58.12" "77" "2.5" " 13. kerület, Rokolya utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "nincs megadva" "északkelet" "utcai" "5 m²" "nem" "nem tetotéri" "önálló garázs - megvásárolható" NA NA
"19" "55.09" "70" "3" " 13. kerület, Rokolya utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "nincs megadva" "dél" "utcai" "9 m²" "nem" "nem tetotéri" "önálló garázs - megvásárolható" NA NA
"20" "58.12" "77" "2.5" " 13. kerület, Rokolya utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "nincs megadva" "északkelet" "utcai" "5 m²" "nem" "nem tetotéri" "önálló garázs - megvásárolható" NA NA
