"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "parkolas" "erkely" "tetoter" "panelprogram" "rezsikoltseg"
"11" "140.24" "108" "3" " 7. kerület, Dohány utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nincs megadva" "2 m²" "nem tetotéri" NA NA
"12" "31.5" "41" "1" " 7. kerület, Hernád utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs megadva" "nincs megadva" "cserépkályha" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"13" "19.69" "64" "2" " 17. kerület, Rákosliget " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "egyéb" "nincs" "igen" "egy helyiségben" "nincs megadva" "kertre nézo" "igen" "nincs megadva" NA "nem tetotéri" NA NA
"14" "32.9" "48" "2" " 11. kerület, Fraknó utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "9" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "részt vett" NA
"15" "32.9" "38" "1" " 14. kerület, Kerepesi út " "felújított" NA "nincs megadva" "nincs megadva" "1" "4" "van" "nincs megadva" "távfutés" NA "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"16" "48.9" "53" "1" " 2. kerület, Hárshegy " "felújított" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "igen" "utca, közterület - ingyenes" "4 m²" "nem tetotéri" NA NA
"17" "22.9" "33" "1" " 4. kerület, Venetianer utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "igen" "külön helyiségben" "kelet" "udvari" "nincs megadva" "utca, közterület - ingyenes" NA "nincs megadva" NA NA
"18" "25.8" "59" "2" " 15. kerület, Régi Fóti út " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "házközponti" "nincs" "igen" "külön helyiségben" "északnyugat" "panorámás" "nem" "utca, közterület - ingyenes" "3 m²" "nem tetotéri" "nem vett részt" "27 500 Ft/hó"
"19" "28.5" "55" "2" " 15. kerület, Drégelyvár utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "igen" "külön helyiségben" "délkelet" "utcai" "nem" "utca, közterület - ingyenes" "4 m²" "nem tetotéri" "nem vett részt" "12 800 Ft/hó"
"20" "36.5" "68" "3" " 14. kerület, Vezér utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "nincs megadva" "utca, közterület - ingyenes" "3 m²" "nincs megadva" "részt vett" NA
