"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "parkolas" "legkondicionalo" "erkely" "tetoter" "rezsikoltseg" "parkolohely_ara" "panelprogram"
"11" "59.9" "64" "2" " 13. kerület, Angyalföld " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nincs megadva" NA NA "nincs megadva" NA NA NA
"12" "73" "91" "2" " 3. kerület, San Marco utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "egy helyiségben" "kelet" "utcai" "nincs megadva" "teremgarázs hely - kötelezo megvenni" "van" "6 m²" "nincs megadva" "17 000 Ft/hó" "5 M Ft" NA
"13" "32.9" "55" "2" " 14. kerület, Adria sétány " "közepes állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "2 m²" "nem tetotéri" NA NA "nincs megadva"
"14" "22.9" "27" "1" " 8. kerület, Práter utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "egy helyiségben" "kelet" "utcai" "nincs megadva" "utca, közterület - fizetos övezet" NA "3 m²" "nincs megadva" "25 000 Ft/hó" NA "nem vett részt"
"15" "92.5" "105" "2" " 7. kerület, Külso-Erzsébetváros – Ligetváros " "nincs megadva" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nem" "utca, közterület - fizetos övezet" "nincs" NA "nem tetotéri" NA NA NA
"16" "73" "71" "3" " 11. kerület, Szent Kristóf utca " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "északnyugat" "utcai" "nincs megadva" "nincs megadva" NA "4 m²" "nem tetotéri" NA NA NA
"17" "189" "124" "4" " 2. kerület, Törökvész " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "délnyugat" "kertre nézo" "nincs megadva" "teremgarázs hely" "van" "10 m²" "nincs megadva" NA NA NA
"18" "341.9" "189" "5" " 1. kerület, Sánc utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "nincs megadva" "2" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "északkelet" "kertre nézo" "nincs megadva" "nincs megadva" NA NA "nincs megadva" NA NA NA
"19" "32.9" "66" "3" " 3. kerület, Óbudai lakótelep " "felújítandó" NA "összkomfortos" "nincs megadva" "1" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "igen" "külön helyiségben" "kelet" "kertre nézo" "nincs megadva" "utca, közterület - ingyenes" NA "4 m²" "nincs megadva" NA NA "részt vett"
"20" "24.85" "52" "2" " 9. kerület, Külso-Ferencváros – Aszódi utcai lakótelep " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "nincs megadva" "kertre nézo" "igen" "udvari beálló - benne van az árban" "nincs" NA "nem tetotéri" "10 000 Ft/hó" NA NA
