"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "erkely" "legkondicionalo" "rezsikoltseg" "parkolohely_ara" "panelprogram"
"11" "87.8" "96" "3" " 1. kerület, Aladár utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület" "1950-1980 között" "10 m²" NA "75 000 Ft/hó" NA NA
"12" "52.9" "70" "4" " 15. kerület, Rákospalota " "újszeru" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "kertre nézo" "igen" "nincs megadva" "udvari beálló - benne van az árban" "2001-2010 között" NA NA NA NA NA
"13" "27.9" "35" "1" " 9. kerület, Drégely utca " "jó állapotú" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA "van" NA NA NA
"14" "28.5" "39" "1" " 9. kerület, Távíró utca " "jó állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" "3 m²" NA NA NA NA
"15" "65.9" "71" "2" " 13. kerület, Gyöngyház utca " "felújított" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "távfutés" "nem" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "4 m²" NA NA NA NA
"16" "24.4" "46" "2" " 14. kerület, Szentmihályi út " "felújítandó" "nincs megadva" "nincs megadva" "2" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA "35 000 Ft/hó" NA "nincs megadva"
"17" "30.9" "36" "1" " 2. kerület, Huvösvölgyi út " "közepes állapotú" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "délkelet" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA "20 000 Ft/hó" NA NA
"18" "139.9" "100" "3" " 5. kerület, Szent István körút " "felújított" "duplakomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" "1950 elott" NA "van" "25 000 Ft/hó" NA NA
"19" "51.9" "60" "2" " 6. kerület, Nagymezo utca " "felújított" "összkomfortos" "nincs megadva" "5" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "van" NA NA NA
"20" "76.9" "140" "4" " 8. kerület, Népszínház utca " "közepes állapotú" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" "1950 elott" NA NA NA NA NA
