"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "legkondicionalo" "rezsikoltseg" "erkely"
"11" "23.5" "46" "1" " 21. kerület, Árpád utca 6/c " "felújított" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "egy helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" NA "van" "20 000 Ft/hó" NA
"12" "37.9" "56" "1" " 9. kerület, Mester utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA "25 000 Ft/hó" "4 m²"
"13" "33.9" "57" "2" " 14. kerület, Ungvár utca 26. " "felújított" "nincs megadva" "nincs megadva" "4" "4" "nincs megadva" "3 m-nél alacsonyabb" "távfutés" "igen" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" NA NA "utca, közterület - ingyenes" "1950-1980 között" NA "30 000 Ft/hó" NA
"14" "75" "92" "3" " 12. kerület, Cinege út 1-3 " "jó állapotú" "összkomfortos" "nincs megadva" "1" "2" "nincs" "nincs megadva" "házközponti, gázkazán" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "nem" "legfelso emelet, nem tetotéri" NA "udvari beálló - benne van az árban" "1981-2000 között" "van" NA "5 m²"
"15" "22.9" "20" "1" " 14. kerület, Hermina út " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"16" "28" "40" "1" " 13. kerület, Szekszárdi utca " "közepes állapotú" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"17" "21.5" "47" "1" " 23. kerület, Templom utca " "felújítandó" "összkomfortos" "JJ" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "dél" "utcai" "igen" "nem tetotéri" NA "utca, közterület - ingyenes" "1950-1980 között" "nincs" NA NA
"18" "36.99" "35" "1" " 9. kerület, Máriássy utca " "újszeru" "összkomfortos" "AA++" "2" "9" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "egy helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" NA "utca, közterület - ingyenes" "2019" NA "6 800 Ft/hó" "1 m²"
"19" "22.5" "43" "1" " 18. kerület, Mikszáth Kálmán utca " "közepes állapotú" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nem" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" NA NA "utca, közterület" "1950-1980 között" NA NA NA
"20" "28.9" "31" "1" " 7. kerület, Peterdy utca " "jó állapotú" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA "23 000 Ft/hó" NA
