"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "panelprogram" "erkely"
"11" "32" "70" "3" " 20. kerület, Baross utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "nincs megadva" "külön helyiségben" "kelet" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "35 000 Ft/hó" "nincs megadva" "4 m²"
"12" "29.8" "44" "2" " 15. kerület, Rákospalota " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "igen" "nincs megadva" "északkelet" "udvari" "nem" "nem tetotéri" "önálló garázs - megvásárolható" NA NA NA
"13" "39.9" "98" "3" " 15. kerület, Rákospalota " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "igen" "nincs megadva" "délnyugat" "utcai" "igen" "nem tetotéri" "utca, közterület" NA NA NA
"14" "23.2" "35" "1" " 18. kerület, Havanna utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs megadva" "4 m²"
"15" "169" "200" "6" " 2. kerület, Völgy utca " "felújított" NA "összkomfortos" "nincs megadva" "nincs megadva" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "külön és egyben is" "délkelet" "kertre nézo" "igen" "nem tetotéri" "önálló garázs - benne van az árban" NA NA "30 m²"
"16" "43.2" "51" "2" " 12. kerület, Krisztinaváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "igen" "külön helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"17" "37" "65" "2" " 7. kerület, Rottenbiller utca " "felújítandó" NA "nincs megadva" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "30 000 Ft/hó" NA NA
"18" "99.89" "126" "4" " 7. kerület, Damjanich utca " "felújított" NA "duplakomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"19" "69.9" "133" "5" " 2. kerület, II/A kerület – Pesthidegkút-Ófalu " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "külön és egyben is" "kelet" "kertre nézo" "nincs megadva" "tetotéri" "udvari beálló" "50 000 Ft/hó" NA NA
"20" "35.9" "67" "2" " 4. kerület, Káposztásmegyer I. lakótelep " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nem" "külön helyiségben" "nincs megadva" "panorámás" "nem" "nem tetotéri" "utca, közterület" NA "nincs megadva" NA
