"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "rezsikoltseg" "parkolohely_ara" "panelprogram" "legkondicionalo"
"11" "38.5" "65" "2" " 18. kerület, Gloriett lakótelep " "jó állapotú" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "1981-2000 között" NA NA "nincs megadva" NA
"12" "89" "62" "2" " 5. kerület, Falk Miksa utca " "közepes állapotú" "összkomfortos" "nincs megadva" "3" "5" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "kelet" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"13" "33.9" "54" "2" " 11. kerület, Kökörcsin utca " "felújított" "összkomfortos" "nincs megadva" "szuterén" "3" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "egy helyiségben" "kelet" "kertre nézo" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "12 000 Ft/hó" NA NA NA
"14" "33" "68" "3" " 22. kerület, Budafok – Leányka utcai lakótelep " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "nincs megadva" "kertre nézo" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA "nem vett részt" "nincs"
"15" "130" "136" "3" " 5. kerület, Alkotmány utca " "felújított" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA
"16" "32.49" "49" "2" " 11. kerület, Fehérvári út 215. " "közepes állapotú" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "nyugat" "panorámás" NA "nem" "nem tetotéri" "utca, közterület" "1950-1980 között" "25 000 Ft/hó" NA "nem vett részt" "nincs"
"17" "31.5" "68" "2" " 18. kerület, Darányi Ignác utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "4" "nincs" "nincs megadva" "gáz (cirko)" "nem" "külön és egyben is" "délkelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "2001-2010 között" NA NA NA "nincs"
"18" "105.9" "70" "2" " 1. kerület, Víziváros – Váralja " "felújítandó" "összkomfortos" "nincs megadva" "3" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "kelet" "panorámás" "2 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA NA NA "nincs"
"19" "102" "90" "3" " 2. kerület, Víziváros " "felújított" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "délnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA NA NA "van"
"20" "55.9" "96" "4" " 2. kerület, Tölgyfa utca " "közepes állapotú" "duplakomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület" "1950 elott" "22 000 Ft/hó" NA NA "nincs"
