"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "rezsikoltseg"
"11" "25.5" "25" "1" " 13. kerület, Victor Hugo utca " "felújított" NA "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA "20 000 Ft/hó"
"12" "35" "38" "1" " 8. kerület, Józsefváros – Csarnoknegyed " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "6" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "egy helyiségben" "kelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "15 000 Ft/hó"
"13" "36.5" "60" "2" " 15. kerület, Illyés Gyula utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "egy helyiségben" "kelet" "udvari" NA "nem" "nincs megadva" "nincs megadva" NA NA
"14" "23.9" "49" "2" " 20. kerület, Erzsébetfalva " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"15" "89" "84" "2" " 7. kerület, Király utca " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "északnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"16" "31.9" "57" "2" " 8. kerület, Józsefváros – Népszínháznegyed " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "északkelet" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"17" "65" "89" "3" " 2. kerület, Országút " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "3" "5" "nincs" "nincs megadva" "cserépkályha" NA "nincs megadva" "külön helyiségben" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA
"18" "20" "35" "1" " 10. kerület, Gyakorló utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "nem" "nincs megadva" "délnyugat" "utcai" "2 m²" "nem" "nem tetotéri" "utca, közterület" "nem vett részt" "250 Ft/hó"
"19" "68.9" "85" "3" " 2. kerület, Felhévíz " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "12 000 Ft/hó"
"20" "83" "98" "2" " 9. kerület, Belso-Ferencváros " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
