"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "panelprogram"
"11" "49.9" "40" "1" " 8. kerület, Ciprus utca " "nincs megadva" "2001-2010 között" "összkomfortos" "nincs megadva" "6" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "dél" "udvari" "110 m²" "igen" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" "25 000 Ft/hó" NA
"12" "350" "226" "4" " 12. kerület, Svábhegy " "nincs megadva" "2011" "luxus" "nincs megadva" "3" "4" "van" "nincs megadva" "hoszivattyú, mennyezeti hutés-futés" "nincs megadva" "külön és egyben is" "dél" "panorámás" "110 m²" "nincs megadva" "tetotéri" "teremgarázs hely - benne van az árban" "van" NA NA
"13" "41.5" "58" "2" " 13. kerület, Pannónia utca " "jó állapotú" NA "összkomfortos" "DD" "9" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "kelet" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA "nincs megadva"
"14" "23.7" "49" "2" " 18. kerület, Vikár Béla utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "délnyugat" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület" "nincs" NA NA
"15" "65" "88" "2" " 7. kerület, Szövetség utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "délnyugat" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "van" NA NA
"16" "38.38" "42" "2" " 13. kerület, Angyalföld " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "északkelet" "utcai" "1 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA NA
"17" "124.99" "127" "6" " 9. kerület, Tompa utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"18" "49" "64" "3" " 11. kerület, Karinthy Frigyes út 26. " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"19" "36.9" "51" "2" " 14. kerület, Alsórákos " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"20" "44.5" "57" "2" " 2. kerület, Kurucles " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "nincs megadva" "nem" "egy helyiségben" "dél" "kertre nézo" NA "nem" "legfelso emelet, nem tetotéri" "udvari beálló - benne van az árban" "nincs" NA NA
