"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg"
"11" "59" "75" "2" " 6. kerület, Aradi utca " "újszeru" "1950 elott" "nincs megadva" "nincs megadva" "3" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"12" "19.99" "22" "1" " 13. kerület, Angyalföld " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA NA
"13" "58.9" "97" "3" " 7. kerület, Kertész utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"14" "103" "104" "3" " 7. kerület, Belso-Erzsébetváros " "felújított" "1950-1980 között" "luxus" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "délkelet" "utcai" NA "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA NA
"15" "14" "55" "2" " 13. kerület, Angyalföld " "felújítandó" NA "összkomfortos" "nincs megadva" "5" "7" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nem" "külön helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"16" "54.9" "60" "2" " 1. kerület, Logodi utca " "felújított" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "padlófutés, elektromos" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"17" "48.9" "79" "3" " 8. kerület, Práter utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "észak" "utcai" "2.5 m²" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA
"18" "69.9" "96" "3" " 14. kerület, Törökor " "jó állapotú" NA "duplakomfortos" "AA+" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nem" "külön és egyben is" "délnyugat" "udvari" "8 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "3 M Ft" NA
"19" "45" "81" "2" " 7. kerület, Külso-Erzsébetváros " "nincs megadva" NA "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA
"20" "116" "120" "3" " 6. kerület, Bajcsy-Zsilinszky út " "közepes állapotú" NA "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "egy helyiségben" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
