"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "erkely" "legkondicionalo" "rezsikoltseg" "parkolohely_ara"
"11" "99" "123" "4" " 14. kerület, Mályva utca 17. " "felújított" "luxus" "AA" "félemelet" "4" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "egy helyiségben" "délnyugat" "kertre nézo" "nem" "nem tetotéri" NA "udvari beálló - kötelezo megvenni" "1950 elott" "3 m²" "van" NA "1.8 M Ft"
"12" "24.9" "56" "2" " 16. kerület, Sándor utca " "felújítandó" "komfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "igen" "egy helyiségben" "északnyugat" "kertre nézo" "igen" "nincs megadva" NA "utca, közterület - ingyenes" "1950 elott" NA NA NA NA
"13" "69" "52" "2" " 13. kerület, Népfürdo utca " "újszeru" "összkomfortos" "nincs megadva" "5" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "dél" "kertre nézo" "nincs megadva" "nem tetotéri" NA "nincs megadva" "2001-2010 között" "10 m²" NA NA NA
"14" "37.7" "44" "2" " 3. kerület, Mátyáshegy " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "észak" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA NA NA
"15" "28.8" "60" "2" " 15. kerület, Arany János utca " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "igen" "nem tetotéri" NA "utca, közterület - ingyenes" NA NA NA NA NA
"16" "43.2" "58" "2" " 13. kerület, Angyalföld " "felújított" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "kertre nézo" "nincs megadva" "nincs megadva" NA "utca, közterület" NA NA NA NA NA
"17" "59" "70" "3" " 13. kerület, Angyalföldi út " "nincs megadva" "duplakomfortos" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "hoszivattyú" "igen" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" NA "teremgarázs hely - megvásárolható" "2019" "11.25 m²" "van" NA "4.5 M Ft"
"18" "42.9" "46" "1" " 11. kerület, Sasad " "felújított" "nincs megadva" "nincs megadva" "földszint" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "nincs megadva" "nincs megadva" NA "nincs megadva" "1981-2000 között" "4 m²" NA NA NA
"19" "22.8" "35" "1" " 19. kerület, Kosárfonó utca 10. " "közepes állapotú" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "egy helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" "1981-2000 között" "3 m²" "nincs" NA NA
"20" "22.9" "55" "2" " 21. kerület, Erdosor utca " "jó állapotú" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "nincs megadva" "panorámás" "nem" "nem tetotéri" "nincs megadva" "utca, közterület - ingyenes" NA NA "van" NA NA
