"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "panelprogram" "legkondicionalo" "parkolohely_ara"
"11" "24.6" "49" "2" " 3. kerület, Boglár utca " "felújítandó" NA "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "nincs megadva" NA NA
"12" "28.9" "52" "2" " 17. kerület, Újlak utca " "felújított" NA "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "nincs megadva" NA NA
"13" "74.9" "90" "3" " 7. kerület, Hernád utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "2" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "5 m²" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA "van" NA
"14" "19.79" "25" "1" " 14. kerület, Alsórákos " "felújított" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"15" "33.7" "59" "2" " 14. kerület, Szentmihályi út " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "3 m²" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" NA "részt vett" "nincs" NA
"16" "147.5" "140" "3" " 2. kerület, Zöldmál " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" "20 m²" "nincs megadva" "nincs megadva" "önálló garázs - benne van az árban" NA NA NA NA
"17" "29.9" "34" "1" " 13. kerület, Madarász Viktor utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "4" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nyugat" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"18" "31.5" "49" "2" " 11. kerület, Bükköny utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "nem vett részt" "nincs" NA
"19" "40.9" "42" "2" " 11. kerület, Szabolcska Mihály utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "dél" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "nincs" NA
"20" "33.88" "31" "1" " 12. kerület, Krisztinaváros – Városmajor " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
