"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "erkely" "parkolohely_ara" "panelprogram" "rezsikoltseg"
"11" "40" "63" "1" " 8. kerület, József körút " "felújított" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "nincs" NA NA NA "10 000 Ft/hó"
"12" "33.99" "48" "2" " 13. kerület, Váci út " "közepes állapotú" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA NA NA NA
"13" "42.3" "68" "2" " 4. kerület, Árpád út " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA "nincs megadva" NA
"14" "26.9" "34" "1" " 14. kerület, Törökor " "jó állapotú" "összkomfortos" "nincs megadva" "3" "5" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "nincs" NA NA NA NA
"15" "26.5" "46" "2" " 17. kerület, Rákoskeresztúri lakótelep " "felújított" "összkomfortos" "nincs megadva" "4" "5" "nincs megadva" "nincs megadva" "házközponti" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "1981-2000 között" NA NA NA NA "28 000 Ft/hó"
"16" "119.9" "160" "4" " 2. kerület, Szilágyi Erzsébet fasor " "jó állapotú" "duplakomfortos" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "dél" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"17" "34.9" "71" "2" " 4. kerület, Újpest-Központ " "jó állapotú" "összkomfortos" "nincs megadva" "3" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "4 m²" NA "nincs megadva" NA
"18" "29.8" "29" "1" " 14. kerület, Tábornok utca " "felújított" "nincs megadva" "nincs megadva" "2" "3" "nincs" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "északnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "2001-2010 között" "van" "6 m²" NA NA NA
"19" "29.9" "63" "2" " 14. kerület, Hungária körút " "közepes állapotú" "összkomfortos" "nincs megadva" "3" "4" "van" "nincs megadva" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" "1950-1980 között" NA "4.6 m²" NA NA "44 000 Ft/hó"
"20" "37.9" "56" "2" " 13. kerület, Béke utca " "jó állapotú" "összkomfortos" "nincs megadva" "6" "7" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "kelet" "panorámás" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" "16 m²" NA NA "14 000 Ft/hó"
