"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "panelprogram" "parkolohely_ara" "rezsikoltseg"
"11" "49.9" "53" "2" " 7. kerület, Kazinczy utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m vagy magasabb" "elektromos" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"12" "49" "60" "3" " 2. kerület, Zöldmál " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "4" "nincs megadva" "nincs megadva" "házközponti" "nem" "külön helyiségben" "nyugat" "kertre nézo" "nem" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"13" "29" "32" "1" " 12. kerület, Németvölgyi út " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "házközponti" "nem" "egy helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA NA "17 000 Ft/hó"
"14" "36.5" "51" "2" " 11. kerület, Kelenföldi lakótelep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "több mint 10" "van" "nincs megadva" "házközponti" "nincs megadva" "egy helyiségben" "északnyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA "5 m²" "nincs megadva" NA NA
"15" "27.9" "46" "1" " 13. kerület, Csuka utca " "közepes állapotú" NA "nincs megadva" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "kelet" "utcai" "nincs megadva" NA "utca, közterület" NA "4 m²" NA NA NA
"16" "63" "99" "3" " 6. kerület, Kmety György utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA NA NA
"17" "66.9" "68" "3" " 3. kerület, Újliget sétány " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "8 m²" NA NA NA
"18" "69" "87" "4" " 11. kerület, Budafoki út " "nincs megadva" "2019" "összkomfortos" "EE" "5" "6" "van" "3 m-nél alacsonyabb" "egyéb" "nem" "nincs megadva" "kelet" "panorámás" "nem" "nem tetotéri" "teremgarázs hely - benne van az árban" "nincs" "11 m²" NA NA "20 000 Ft/hó"
"19" "22.49" "35" "1" " 18. kerület, Csontváry Kosztka Tivadar utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" NA "25 000 Ft/hó"
"20" "29.99" "45" "1" " 16. kerület, Cinkota " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA "10 m²" NA NA NA
