"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "panelprogram"
"11" "35.9" "51" "2" " 3. kerület, Békásmegyeri lakótelep hegy felol " "felújított" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "nincs megadva"
"12" "73.7" "91" "3" " 6. kerület, Külso-Terézváros – Diplomatanegyed " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "egy helyiségben" "dél" "utcai" "2 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA NA
"13" "29" "48" "2" " 20. kerület, Szent Imre herceg utca 29. " "felújított" NA "összkomfortos" "nincs megadva" "nincs megadva" "2" "nincs megadva" "3 m-nél alacsonyabb" "elektromos" NA "nem" "egy helyiségben" "nyugat" "utcai" NA "igen" "nincs megadva" "utca, közterület" "30 000 Ft/hó" NA
"14" "52.9" "49" "2" " 14. kerület, Újvilág utca " "jó állapotú" "2001-2010 között" "összkomfortos" "AA+" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "egy helyiségben" "délkelet" "udvari" "5 m²" "nem" "tetotéri" "teremgarázs hely - bérelheto" NA NA
"15" "24.1" "59" "2" " 18. kerület, Csontváry Kosztka Tivadar utca 56. " "felújított" "1981-2000 között" "összkomfortos" "EE" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "igen" "külön helyiségben" "délkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "nem vett részt"
"16" "57" "65" "3" " 2. kerület, Zöldlomb utca " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "2 m²" "nincs megadva" NA "nincs megadva" NA NA
"17" "36.9" "66" "3" " 3. kerület, Remetehegy " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs megadva"
"18" "89.9" "116" "4" " 6. kerület, Andrássy út " "felújított" NA "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" "50 000 Ft/hó" NA
"19" "34.5" "58" "2" " 13. kerület, Angyalföld – Országbíró utcai lakótelep " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs megadva"
"20" "10.66" "30" "1" " 8. kerület, Baross utca " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "szuterén" "3" "nincs megadva" "3 m vagy magasabb" "elektromos" NA "nem" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
