"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "erkely" "parkolohely_ara" "legkondicionalo" "panelprogram" "rezsikoltseg"
"11" "86.9" "69" "3" " 11. kerület, Szentimreváros " "nincs megadva" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "2019" NA NA NA NA NA
"12" "30" "25" "1" " 13. kerület, Tátra utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "2 m²" NA NA NA NA
"13" "176" "136" "4" " 11. kerület, Szentimreváros " "nincs megadva" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "2019" "36 m²" NA NA NA NA
"14" "24.9" "50" "2" " 10. kerület, Állomás utca " "jó állapotú" "összkomfortos" "nincs megadva" "2" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA "nincs megadva" NA
"15" "59.9" "48" "1" " 13. kerület, Pozsonyi út " "felújított" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA NA "nincs" NA "30 000 Ft/hó"
"16" "26.9" "35" "1" " 13. kerület, Fiastyúk utca " "jó állapotú" "összkomfortos" "nincs megadva" "2" "3" "nincs" "nincs megadva" "nincs megadva" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nem" "nincs megadva" "utca, közterület - fizetos övezet" "1950-1980 között" NA NA NA NA "30 000 Ft/hó"
"17" "44.5" "189" "5" " 9. kerület, Belso-Ferencváros " "felújítandó" "nincs megadva" "nincs megadva" "szuterén" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA NA
"18" "264" "112" "4" " 2. kerület, Bimbó út 80. " "újszeru" "luxus" "AA+" "földszint" "4" "van" "nincs megadva" "hoszivattyú, mennyezeti hutés-futés" "igen" "külön és egyben is" "délnyugat" "panorámás" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "2022" "40 m²" "6 M Ft" "van" NA NA
"19" "42" "52" "2" " 11. kerület, Hídvég utca " "felújított" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "nincs megadva" "gáz (cirko), padlófutés" "nem" "nincs megadva" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "nincs megadva" NA NA NA NA NA NA
"20" "47.5" "67" "2" " 6. kerület, Teréz körút " "jó állapotú" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA NA
