"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "erkely" "epites_eve" "legkondicionalo" "parkolohely_ara"
"11" "119" "127" "4" " 7. kerület, Rákóczi út " "felújított" "duplakomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "északkelet" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA "1950 elott" NA NA
"12" "22" "76" "2" " 21. kerület, Csepel-Királyerdo " "befejezetlen" "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gázkazán" NA "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "tetotéri" NA "udvari beálló - benne van az árban" NA NA NA NA
"13" "69.9" "64" "2" " 13. kerület, Meder utca " "újszeru" "luxus" "nincs megadva" "1" "8" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "25 000 Ft/hó" "igen" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" NA "teremgarázs hely - benne van az árban" "14 m²" "2001-2010 között" "van" NA
"14" "23.5" "62" "1" " 8. kerület, Kálvária tér " "felújítandó" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "25 000 Ft/hó" "nem" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA "1950 elott" "nincs" NA
"15" "44.9" "100" "4" " 6. kerület, Teréz körút " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" NA "utca, közterület - fizetos övezet" NA "1950 elott" "van" NA
"16" "94.9" "149" "3" " 9. kerület, Páva utca " "felújított" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön és egyben is" "északnyugat" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "10 m²" NA "nincs" NA
"17" "20.9" "32" "1" " 6. kerület, Bajnok utca 27. " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "12 000 Ft/hó" "nem" "egy helyiségben" "dél" "udvari" "nem" "nincs megadva" NA "utca, közterület - fizetos övezet" NA "1950 elott" "nincs" NA
"18" "89.9" "96" "3" " 5. kerület, Belváros " "közepes állapotú" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "igen" "külön és egyben is" "dél" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" NA "1950 elott" NA NA
"19" "34.9" "64" "3" " 8. kerület, Losonci tér " "jó állapotú" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nyugat" "udvari" "nem" "nem tetotéri" "részt vett" "utca, közterület" "4 m²" "1950-1980 között" "van" NA
"20" "35.4" "39" "1" " 6. kerület, Külso-Terézváros " "újszeru" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "házközponti" NA "igen" "külön helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" NA "teremgarázs hely - megvásárolható" "2.25 m²" "2019" NA "7 M Ft"
