"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "parkolohely_ara" "erkely" "panelprogram"
"11" "68" "68" "3" " 6. kerület, Liszt Ferenc tér " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "6" "van" "nincs megadva" "házközponti" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "3 m²" NA
"12" "26.5" "27" "1" " 7. kerület, Hernád utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "északnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"13" "32" "23" "2" " 8. kerület, Rákóczi út " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "nincs megadva" "északnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"14" "23.95" "28" "1" " 11. kerület, Rétköz utca 4. " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "5" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "nem" "egy helyiségben" "kelet" "panorámás" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" "15 000 Ft/hó" NA NA "nem vett részt"
"15" "35.9" "65" "3" " 3. kerület, Szello utca " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "5" "10" "van" "nincs megadva" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "5 m²" "nincs megadva"
"16" "139.9" "110" "2" " 13. kerület, Petneházy utca " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "70 m²" NA
"17" "36.5" "36" "1" " 5. kerület, Belváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"18" "39.9" "68" "2" " 14. kerület, Rákosfalva " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "igen" "nincs megadva" "dél" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA "4 m²" "részt vett"
"19" "28" "47" "1" " 9. kerület, Egyetértés utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "észak" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "15 000 Ft/hó" NA "2 m²" NA
"20" "69.9" "79" "2" " 1. kerület, Kosciuszkó Tádé utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "észak" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "40 000 Ft/hó" NA NA NA
