"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "lakopark_neve" "epites_eve" "legkondicionalo" "erkely" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"11" "25.49" "30" "1" " 3. kerület, Tímár utca " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "igen" "egy helyiségben" "nyugat" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA "1950 elott" NA NA NA NA NA
"12" "39.9" "68" "2" " 8. kerület, Bérkocsis utca 18. " "nincs megadva" "nincs megadva" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA NA
"13" "44.9" "95" "2" " 8. kerület, Baross utca 98. " "közepes állapotú" "összkomfortos" "nincs megadva" "4" "7" "van" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA NA
"14" "41.5" "68" "2" " 19. kerület, Kispest-Óváros " "nincs megadva" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "legfelso emelet, nem tetotéri" "teremgarázs hely - megvásárolható" NA "2019" NA NA "2 M Ft" NA NA
"15" "27.9" "32" "1" " 7. kerület, Marek József utca 15. " "nincs megadva" "összkomfortos" "nincs megadva" "2" "2" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA NA
"16" "165" "150" "4" " 13. kerület, Újlipótváros " "jó állapotú" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "2 m²" NA NA NA
"17" "38.5" "39" "1" " 12. kerület, Kék Golyó utca 14. " "közepes állapotú" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA NA
"18" "26.99" "51" "2" " 3. kerület, Békásmegyeri lakótelep Duna felol " "közepes állapotú" "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA NA NA "nincs megadva"
"19" "28.4" "50" "2" " 9. kerület, Pöttyös utca " "jó állapotú" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "dél" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület" NA "1950-1980 között" "van" "3 m²" NA NA "nem vett részt"
"20" "21.7" "27" "1" " 17. kerület, Rákoskeresztúri lakótelep " "jó állapotú" "összkomfortos" "nincs megadva" "nincs megadva" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA "nincs megadva"
