"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "erkely"
"11" "67.98" "80" "3" " 11. kerület, Kelenföld " "nincs megadva" "2001-2010 között" "nincs megadva" "nincs megadva" "3" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA
"12" "30.5" "25" "1" " 6. kerület, Podmaniczky utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "12 000 Ft/hó" "igen" "egy helyiségben" "délkelet" "udvari" "nincs megadva" "nincs megadva" NA "nincs megadva" NA
"13" "22.4" "53" "2" " 19. kerület, Kisfaludy utca " "felújítandó" "1981-2000 között" "összkomfortos" "CC" "5" "több mint 10" "van" "nincs megadva" "távfutés" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "nem vett részt" "nincs megadva" NA
"14" "25.9" "53" "1" " 13. kerület, Szent László út " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "egyéb" "nincs" NA "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA
"15" "33.99" "60" "2" " 4. kerület, Kassai utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "40 000 Ft/hó" "nem" "külön helyiségben" "dél" "panorámás" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" "4 m²"
"16" "28" "28" "1" " 13. kerület, Szekszárdi utca 32. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA
"17" "27.5" "55" "2" " 21. kerület, Csepel-Csillagtelep " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés" "van" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "4 m²"
"18" "64.99" "69" "2" " 13. kerület, Pozsonyi út " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" NA "nem" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA
"19" "35.99" "51" "1" " 18. kerület, Margó Tivadar utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "10 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "4 m²"
"20" "25.8" "56" "2" " 20. kerület, Gubacsipuszta " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "nincs megadva" "házközponti" NA NA "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" NA NA "nincs megadva" NA
