"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "panelprogram" "epites_eve" "parkolohely_ara" "rezsikoltseg"
"11" "49.9" "50" "1" " 1. kerület, Attila út " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"12" "46.9" "118" "4" " 20. kerület, Nagysándor József utca " "felújított" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "egy helyiségben" "északkelet" "udvari" "nincs megadva" "legfelso emelet, nem tetotéri" "udvari beálló - benne van az árban" NA NA "1981-2000 között" NA NA
"13" "28.7" "57" "2" " 17. kerület, Ferihegyi út " "közepes állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "távfutés" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"14" "59.75" "101" "3" " 6. kerület, Külso-Terézváros " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nincs megadva" "egy helyiségben" "délkelet" "utcai" "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA NA "1950 elott" NA NA
"15" "30.9" "51" "2" " 3. kerület, Békásmegyeri lakótelep Duna felol " "jó állapotú" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs megadva" "1950-1980 között" NA NA
"16" "43.9" "109" "4" " 20. kerület, Nagysándor József utca " "felújított" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "egy helyiségben" "északkelet" "udvari" "nincs megadva" "legfelso emelet, nem tetotéri" "udvari beálló - benne van az árban" NA NA "1950-1980 között" NA NA
"17" "28.9" "73" "2" " 18. kerület, Havanna-lakótelep " "felújítandó" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "igen" "külön helyiségben" "délnyugat" "panorámás" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "4 m²" "nem vett részt" "1950-1980 között" NA "40 000 Ft/hó"
"18" "49.9" "73" "2" " 11. kerület, Kelenföld " "jó állapotú" "összkomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA
"19" "50.9" "68" "3" " 10. kerület, Tavas utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "6 m²" NA NA NA NA
"20" "62.6" "68" "3" " 3. kerület, Csillaghegy – Forrásliget lakópark " "jó állapotú" "komfortos" "nincs megadva" "1" "2" "nincs" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "2001-2010 között" NA NA
