"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "panelprogram"
"11" "32.9" "38" "2" " 14. kerület, Alsórákos " "felújított" NA "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" NA "nincs megadva" "nincs megadva" "nincs megadva" "van" NA
"12" "119" "150" "3" " 1. kerület, Mészáros utca " "újszeru" "2014" "duplakomfortos" "AA+" "3" "3" "van" "3 m vagy magasabb" "gáz (cirko), padlófutés" NA "nem" "külön helyiségben" "délnyugat" "panorámás" NA "nem" "tetotéri" "utca, közterület - fizetos övezet" "van" NA
"13" "84.9" "91" "3" " 5. kerület, Nyugati tér 8. " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "48 000 Ft/hó" "nem" "egy helyiségben" "kelet" "utcai" NA "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" "van" NA
"14" "30.9" "62" "2" " 20. kerület, Nagy Gyory István utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "nincs megadva" NA "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA
"15" "36" "64" "2" " 4. kerület, Kordován tér 1. " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "12 000 Ft/hó" "nem" "külön helyiségben" "délkelet" "panorámás" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "van" "nem vett részt"
"16" "29.5" "36" "1" " 3. kerület, Óbudai lakótelep " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "8 500 Ft/hó" "nincs megadva" "külön helyiségben" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"17" "33.5" "48" "2" " 3. kerület, Szentendrei út " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva"
"18" "33.7" "48" "2" " 3. kerület, Szentendrei út " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva"
"19" "32.9" "42" "1" " 8. kerület, Népszínház utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"20" "49.9" "85" "4" " 14. kerület, Adria sétány 1c " "felújított" NA "duplakomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "nincs megadva" NA "nincs megadva" "külön és egyben is" "délkelet" "utcai" NA "nem" "nincs megadva" "utca, közterület" NA NA
