"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "epites_eve" "erkely" "rezsikoltseg" "parkolohely_ara"
"11" "38.9" "56" "2" " 6. kerület, Külso-Terézváros " "felújítandó" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "északnyugat" "udvari" "nincs megadva" "legfelso emelet, nem tetotéri" NA "nincs megadva" NA "1950 elott" NA NA NA
"12" "23" "36" "1" " 10. kerület, Szövoszék utca " "felújított" "összkomfortos" "nincs megadva" "6" "10" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "külön helyiségben" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" "nincs" "1981-2000 között" NA NA NA
"13" "69.9" "63" "2" " 5. kerület, Stollár Béla utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "4" "van" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA "2 m²" NA NA
"14" "59.9" "65" "1" " 5. kerület, Bajcsy-Zsilinszky út " "felújítandó" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m vagy magasabb" "házközponti" "igen" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" NA "utca, közterület" NA "1950 elott" "5 m²" NA NA
"15" "33.9" "65" "2" " 4. kerület, Káposztásmegyer I. lakótelep " "közepes állapotú" "összkomfortos" "nincs megadva" "7" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" "van" "1981-2000 között" "3 m²" "20 000 Ft/hó" NA
"16" "253.32" "146" "3" " 13. kerület, Cserhalom utca " "nincs megadva" "duplakomfortos" "nincs megadva" "8" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "nem" NA NA "teremgarázs hely - megvásárolható" "van" "2020" "87 m²" NA "15 000 €"
"17" "57" "81" "3" " 13. kerület, Népfürdo utca " "felújított" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA "1981-2000 között" "6 m²" NA NA
"18" "69" "56" "2" " 1. kerület, Fo utca " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "észak" "udvari" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA "1950 elott" NA NA NA
"19" "27.9" "52" "1" " 4. kerület, Újpest-Kertváros " "felújított" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "kelet" "utcai" "igen" "nem tetotéri" NA "utca, közterület - ingyenes" NA NA NA "12 000 Ft/hó" NA
"20" "21.99" "27" "1" " 13. kerület, Csángó utca " "jó állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "udvari" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA "1950 elott" NA NA NA
