"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "rezsikoltseg" "erkely" "panelprogram"
"11" "57.9" "98" "3" " 8. kerület, Bauer Sándor utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA "4 m²" NA
"12" "29.9" "52" "2" " 8. kerület, Szigony utca " "jó állapotú" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA "4 m²" "nincs megadva"
"13" "75.9" "130" "3" " 8. kerület, Baross utca " "jó állapotú" "nincs megadva" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
"14" "39.9" "60" "2" " 8. kerület, József körút " "jó állapotú" "nincs megadva" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
"15" "184" "190" "4" " 13. kerület, Újlipótváros " "jó állapotú" "duplakomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "távfutés egyedi méréssel" "van" "nem" "külön és egyben is" "dél" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" "60 000 Ft/hó" NA NA
"16" "79" "121" "4" " 14. kerület, Alsórákos " "nincs megadva" "luxus" "CC" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "külön helyiségben" "délnyugat" "utcai" "igen" "nem tetotéri" "udvari beálló - benne van az árban" "2020" "30 000 Ft/hó" "24 m²" NA
"17" "27" "46" "2" " 14. kerület, Gvadányi utca " "jó állapotú" "nincs megadva" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "igen" "egy helyiségben" "nyugat" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület" "1981-2000 között" NA NA "részt vett"
"18" "40.25" "54" "2" " 6. kerület, Király utca " "felújított" "összkomfortos" "nincs megadva" "félemelet" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "északkelet" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "30 000 Ft/hó" NA NA
"19" "38.5" "43" "2" " 14. kerület, Laky Adolf utca " "felújított" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA "1.53 m²" NA
"20" "49.5" "56" "2" " 19. kerület, Ady Endre út " "újszeru" "luxus" "nincs megadva" "3" "3" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nem" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" "2011" NA "10 m²" NA
