"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "parkolohely_ara" "rezsikoltseg"
"11" "31.25" "50" "2" " 14. kerület, Nagyzugló – Kerepesi úti lakótelep " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA
"12" "48" "57" "2" " 7. kerület, Dob utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "nincs megadva" NA "nem" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" NA "utca, közterület" NA NA
"13" "32" "37" "1" " 13. kerület, Lehel utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "8" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nincs megadva" "egy helyiségben" "délkelet" "panorámás" "18 m²" "nincs megadva" "nincs megadva" NA "teremgarázs hely - megvásárolható" "4.2 M Ft" NA
"14" "22.7" "35" "1" " 15. kerület, Drégelyvár utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "CC" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "nem" "egy helyiségben" "kelet" "udvari" NA "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" NA "8 000 Ft/hó"
"15" "33.9" "67" "2" " 18. kerület, Juharos sor " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA
"16" "29.99" "49" "2" " 10. kerület, Kobánya – Óhegy " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" NA "nincs megadva" "nincs megadva" NA "utca, közterület - ingyenes" NA NA
"17" "35" "47" "1" " 6. kerület, Szófia utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA "15 000 Ft/hó"
"18" "32" "56" "2" " 8. kerület, Baross utca " "felújított" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "nem" "egy helyiségben" "nyugat" "udvari" "5 m²" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA NA
"19" "37.5" "41" "1" " 14. kerület, Egressy út " "újszeru" "2001-2010 között" "összkomfortos" "A" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "egy helyiségben" "nincs megadva" "kertre nézo" "12 m²" "igen" "nem tetotéri" NA "teremgarázs hely - megvásárolható" NA NA
"20" "41.18" "66" "3" " 19. kerület, Lehel utca 6. " "nincs megadva" "2020" "nincs megadva" "nincs megadva" "3" "7" "van" "nincs megadva" "házközponti egyedi méréssel, padlófutés" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "4.05 m²" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
