"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "erkely" "legkondicionalo" "parkolohely_ara"
"11" "125" "126" "5" " 11. kerület, Tétényi út " "nincs megadva" "duplakomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "külön és egyben is" "nincs megadva" "utcai" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2020" "30 m²" "nincs" "3 M Ft"
"12" "79.45" "101" "3" " 12. kerület, Krisztinaváros " "felújított" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "elektromos" NA "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" "3 m²" NA NA
"13" "49.9" "70" "2" " 9. kerület, Tinódi utca " "jó állapotú" "összkomfortos" "nincs megadva" "nincs megadva" "4" "van" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA "3 m²" NA NA
"14" "205" "179" "5" " 2. kerület, Apostol utca " "jó állapotú" "duplakomfortos" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "önálló garázs" NA "18 m²" "van" NA
"15" "44" "37" "2" " 6. kerület, Király utca " "felújított" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "igen" "külön helyiségben" "északkelet" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA "nincs" NA
"16" "27.9" "57" "2" " 13. kerület, Rokolya utca " "felújított" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m vagy magasabb" "elektromos" NA "nem" "egy helyiségben" "nyugat" "kertre nézo" "nem" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" NA "nincs" NA
"17" "24.9" "46" "1" " 13. kerület, Rokolya utca " "felújított" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m vagy magasabb" "elektromos" NA "nem" "egy helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" NA "nincs" NA
"18" "32.9" "57" "2" " 14. kerület, Abonyi utca " "jó állapotú" "összkomfortos" "nincs megadva" "nincs megadva" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "északkelet" "udvari" "igen" "nem tetotéri" "udvari beálló - benne van az árban" "1950 elott" NA "nincs" NA
"19" "34.8" "64" "2" " 4. kerület, Erdosor út 14. " "jó állapotú" "összkomfortos" "nincs megadva" "1" "5" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nem" "külön helyiségben" "északnyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1981-2000 között" "3 m²" "nincs" NA
"20" "39.54" "43" "2" " 2. kerület, Labanc út " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "7 500 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
