"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "legkondicionalo" "panelprogram" "parkolohely_ara"
"11" "52.9" "54" "2" " 12. kerület, Hajnóczy József utca " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "igen" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"12" "99.9" "94" "3" " 11. kerület, Villányi út " "felújított" NA "duplakomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön és egyben is" "dél" "udvari" "6 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
"13" "40.4" "54" "1" " 14. kerület, Ilka utca 34. " "újszeru" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "házközponti" "nem" "egy helyiségben" "délkelet" "kertre nézo" "4 m²" "nem" "nem tetotéri" "nincs megadva" NA "van" NA NA
"14" "54" "58" "1" " 7. kerület, Akácfa utca 37-39 " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"15" "41.9" "46" "1" " 11. kerület, Villányi út 20/b " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nem" "egy helyiségben" "nincs megadva" "udvari" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "30 000 Ft/hó" "nincs" NA NA
"16" "48.16" "53" "2" " 13. kerület, Esztergomi út 66. " "jó állapotú" "2001-2010 között" "összkomfortos" "A" "2" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "délkelet" "utcai" "3 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "van" NA NA
"17" "54.9" "60" "2" " 2. kerület, Pasaréti út " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "dél" "panorámás" "6 m²" "nem" "legfelso emelet, nem tetotéri" "utca, közterület" "29 045 Ft/hó" "nincs" NA NA
"18" "37.8" "39" "2" " 13. kerület, Petneházy utca 38-42. " "újszeru" "2001-2010 között" "összkomfortos" "A" "5" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "dél" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs" NA NA
"19" "34.9" "51" "1" " 6. kerület, Izabella utca " "felújítandó" NA "nincs megadva" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" NA NA
"20" "47.9" "45" "2" " 13. kerület, Meder utca " "nincs megadva" "2020" "luxus" "nincs megadva" "5" "9" "van" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "7 m²" "nem" NA "teremgarázs hely - megvásárolható" NA "van" NA "5 M Ft"
