"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "parkolohely_ara" "panelprogram"
"11" "99.95" "106" "5" " 6. kerület, Szív utca " "felújított" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"12" "107.3" "73" "2" " 1. kerület, Úri utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "5 m²" NA NA
"13" "42.9" "44" "1" " 13. kerület, Katona József utca 26. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "6" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA NA "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"14" "35.9" "49" "2" " 11. kerület, Albertfalva " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "8 000 Ft/hó" "nem" "külön helyiségben" "kelet" "panorámás" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" NA NA "nem vett részt"
"15" "119" "160" "7" " 6. kerület, Weiner Leó utca " "jó állapotú" NA "duplakomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"16" "23.99" "56" "2" " 21. kerület, Csepel – Ady Endre úti lakótelep " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "30 000 Ft/hó" "igen" "külön helyiségben" "nincs megadva" "utcai" "nem" "nincs megadva" "utca, közterület - ingyenes" "4 m²" NA "nem vett részt"
"17" "22.9" "39" "1" " 10. kerület, Szegély utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "elektromos" "nincs" NA "igen" "egy helyiségben" "kelet" "kertre nézo" "igen" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"18" "79.8" "76" "2" " 6. kerület, Paulay Ede utca 15. " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "17 000 Ft/hó" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"19" "139" "139" "4" " 6. kerület, Liszt Ferenc tér " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "van" NA "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"20" "21.5" "35" "2" " 18. kerület, Havanna-lakótelep " "jó állapotú" NA "összkomfortos" "nincs megadva" "4" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs" NA "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "3 m²" NA "részt vett"
