"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "rezsikoltseg" "erkely" "parkolohely_ara"
"11" "64" "80" "2" " 11. kerület, Karinthy Frigyes út 8. " "felújított" "1981-2000 között" "duplakomfortos" "nincs megadva" "5" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "délnyugat" "utcai" "nincs megadva" "legfelso emelet, nem tetotéri" NA "utca, közterület" "18 000 Ft/hó" NA NA
"12" "60" "67" "2" " 2. kerület, Zivatar utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "nyugat" "kertre nézo" "igen" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA "2 m²" NA
"13" "29.9" "33" "1" " 13. kerület, Kucsma utca " "újszeru" "2019" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nincs megadva" "egy helyiségben" "dél" "panorámás" "nem" "nem tetotéri" NA "teremgarázs hely - megvásárolható" NA "3 m²" "3 M Ft"
"14" "69.9" "81" "3" " 1. kerület, Alsóhegy utca " "felújított" NA "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "nincs megadva" NA "utca, közterület" NA "4 m²" NA
"15" "89" "83" "2" " 6. kerület, Csengery utca " "újszeru" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "legfelso emelet, nem tetotéri" NA "utca, közterület - fizetos övezet" "30 Ft/hó" NA NA
"16" "124.9" "91" "3" " 5. kerület, Szent István körút 17. " "felújított" "1950 elott" "luxus" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "igen" "egy helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" NA "utca, közterület" NA NA NA
"17" "44.5" "47" "2" " 13. kerület, Szent László út " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "teremgarázs hely - benne van az árban" NA NA NA
"18" "24.9" "47" "2" " 20. kerület, Kossuth Lajos utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "3" "nincs megadva" "nincs megadva" "házközponti" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "utca, közterület - ingyenes" NA NA NA
"19" "33.9" "74" "2.5" " 19. kerület, Batthyány utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "van" "nem" "külön helyiségben" "délnyugat" "nincs megadva" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" NA "3 m²" NA
"20" "45.5" "38" "1" " 6. kerület, Paulay Ede utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "elektromos" NA "nincs megadva" "egy helyiségben" "dél" "udvari" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
