"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "parkolohely_ara" "erkely" "rezsikoltseg"
"11" "59" "83" "2" " 11. kerület, Budafoki út " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" NA "utca, közterület - ingyenes" "van" NA NA NA
"12" "34" "71" "2" " 4. kerület, Závodszky Zoltán utca " "felújított" NA "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" NA "4 m²" NA
"13" "69.9" "89" "4" " 10. kerület, Tavas utca " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "8" "8" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "délnyugat" "panorámás" "nincs megadva" "nincs megadva" NA "teremgarázs hely - kötelezo megvenni" NA "3 M Ft" "13 m²" NA
"14" "59.9" "74" "3" " 14. kerület, Alsórákos " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "4" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA "6.93 m²" NA
"15" "85" "100" "4" " 6. kerület, Benczúr utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "van" "nincs megadva" "házközponti" "nincs megadva" "külön és egyben is" "kelet" "kertre nézo" "nincs megadva" "nincs megadva" NA "udvari beálló - megvásárolható" NA "4 M Ft" "1.5 m²" "50 000 Ft/hó"
"16" "25" "32" "1" " 14. kerület, Kiszugló " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" "igen" "nincs megadva" "dél" "nincs megadva" "igen" "nincs megadva" NA "nincs megadva" NA NA "15 m²" NA
"17" "38.8" "47" "1" " 11. kerület, Kelenföld " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "egy helyiségben" "nincs megadva" "nincs megadva" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "nincs" NA "3 m²" NA
"18" "44.99" "50" "2" " 9. kerület, Vaskapu utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "6" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "északnyugat" "kertre nézo" "nem" "zárószint" NA "utca, közterület - fizetos övezet" "nincs" NA "10 m²" NA
"19" "42" "47" "2" " 14. kerület, Istvánmezo " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "teremgarázs hely" NA NA "5.97 m²" NA
"20" "80" "98" "3" " 9. kerület, Drégely utca 14. " "nincs megadva" "2018" "duplakomfortos" "nincs megadva" "6" "7" "van" "3 m-nél alacsonyabb" "házközponti" "igen" "külön és egyben is" "dél" "panorámás" "nem" NA NA "teremgarázs hely - megvásárolható" "nincs" "4 M Ft" "31.66 m²" "25 000 Ft/hó"
