"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "erkely" "parkolohely_ara" "panelprogram"
"11" "51" "53" "2" " 9. kerület, Ráday utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "1" "3" "van" "nincs megadva" "gáz (cirko)" "van" "igen" "egy helyiségben" "nincs megadva" "kertre nézo" "nem" "nincs megadva" "nincs megadva" NA NA NA NA
"12" "44.9" "45" "1" " 13. kerület, Angyalföld " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "2" "6" "van" "nincs megadva" "hoszivattyú" NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA "7.9 m²" NA NA
"13" "45" "44" "2" " 7. kerület, Rózsa utca " "közepes állapotú" NA "nincs megadva" "nincs megadva" "földszint" "2" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"14" "38.99" "52" "2" " 6. kerület, Vörösmarty utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nincs megadva" "egy helyiségben" "délnyugat" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"15" "21.6" "36" "1" " 10. kerület, Harmat utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA "nem vett részt"
"16" "25.99" "49" "1" " 18. kerület, Szent Lorinc-lakótelep " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA "4 m²" NA NA
"17" "25.9" "42" "1" " 20. kerület, Török Flóris utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "van" "nincs megadva" "egy helyiségben" "északkelet" "utcai" "nem" "nem tetotéri" "nincs megadva" NA "4.5 m²" NA NA
"18" "45.9" "70" "2" " 14. kerület, Thököly út " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nem" "külön helyiségben" "nincs megadva" "udvari" "nem" "tetotéri" "utca, közterület - ingyenes" NA "20 m²" NA NA
"19" "105" "103" "3" " 13. kerület, Újlipótváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "egyéb" NA "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"20" "26.5" "53" "2" " 15. kerület, Újpalota " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "igen" "külön helyiségben" "délnyugat" "nincs megadva" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA "részt vett"
