"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "panelprogram"
"11" "27.9" "44" "2" " 19. kerület, Wekerletelep " "felújított" "1950 elott" "komfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "35 000 Ft/hó" "igen" "egy helyiségben" "dél" "utcai" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA NA
"12" "92.9" "98" "3" " 3. kerület, Nánási út " "nincs megadva" "2001-2010 között" "luxus" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "50 000 Ft/hó" "igen" "külön helyiségben" "nincs megadva" "kertre nézo" "igen" "nem tetotéri" "teremgarázs hely - benne van az árban" "20 m²" NA
"13" "29.9" "50" "2" " 3. kerület, Solymár utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA NA "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "4 m²" "nincs megadva"
"14" "69.9" "74" "3" " 7. kerület, Wesselényi utca 21. " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "házközponti" "van" "20 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "5 m²" NA
"15" "26.99" "54" "2" " 4. kerület, Árpád út " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "30 000 Ft/hó" "nem" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "3 m²" "nem vett részt"
"16" "27.2" "53" "3" " 4. kerület, Munkásotthon utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "30 000 Ft/hó" "nem" "külön helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "nem vett részt"
"17" "133" "125" "3" " 2. kerület, Budakeszi út " "felújított" "2001-2010 között" "luxus" "AA" "nincs megadva" "nincs megadva" "van" "3 m-nél alacsonyabb" "fan-coil" "van" NA "nincs megadva" "külön és egyben is" "délkelet" "kertre nézo" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "40.9 m²" NA
"18" "76" "83" "3" " 7. kerület, Damjanich utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "3" "3" "van" "nincs megadva" "gáz (cirko)" "van" NA "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "nincs megadva" NA NA
"19" "18.5" "56" "2" " 15. kerület, Dobó utca " "felújítandó" NA "nincs megadva" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m vagy magasabb" "nincs megadva" NA NA "igen" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA
"20" "62" "85" "3" " 14. kerület, Istvánmezo " "nincs megadva" "2001-2010 között" "nincs megadva" "nincs megadva" "4" "5" "van" "nincs megadva" "gáz (cirko)" "van" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "5 m²" NA
