"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "rezsikoltseg" "erkely" "parkolohely_ara"
"11" "26.4" "59" "2" " 19. kerület, Kisfaludy utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "igen" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
"12" "29.9" "66" "2" " 21. kerület, Temesvári utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "10 000 Ft/hó" "11 m²" NA
"13" "38" "52" "2" " 9. kerület, Ülloi út " "felújítandó" NA "összkomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "gáz (konvektor)" "nincs" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nem" "nem tetotéri" NA "utca, közterület" NA NA NA
"14" "103" "93" "3" " 7. kerület, Király utca 47. " "felújított" "1950 elott" "duplakomfortos" "AA+" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "25 000 Ft/hó" "1 m²" NA
"15" "35.5" "66" "3" " 18. kerület, Tövishát utca " "újszeru" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nem" "külön helyiségben" "délnyugat" "utcai" "nem" NA NA "utca, közterület - ingyenes" NA NA NA
"16" "36" "54" "1" " 11. kerület, Menyecske utca " "felújított" NA "összkomfortos" "nincs megadva" "5" "10" "van" "nincs megadva" "házközponti egyedi méréssel" NA "igen" "külön helyiségben" "nyugat" "panorámás" "nem" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" NA NA NA
"17" "45.9" "42" "1" " 13. kerület, Frangepán utca " "újszeru" "2017" "összkomfortos" "nincs megadva" "3" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" NA "nincs megadva" "10 000 Ft/hó" "4 m²" NA
"18" "29.9" "34" "1" " 7. kerület, Bethlen Gábor utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "egy helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" NA "nincs megadva" "8 000 Ft/hó" NA NA
"19" "24.99" "46" "2" " 14. kerület, Alsórákos – Füredi utcai lakótelep " "közepes állapotú" NA "összkomfortos" "nincs megadva" "5" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "nincs megadva" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "részt vett" "nincs megadva" NA NA NA
"20" "97.9" "107" "3" " 6. kerület, Izabella utca " "újszeru" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "nincs megadva" "legfelso emelet, nem tetotéri" NA "nincs megadva" NA NA NA
